"Source:","http://www.lib.berkeley.edu/MRC/Sovietfilm.html"
"

Contents:
"
"â€¢149; Ѭ href=""#soviet"">Russia (Soviet Union)Ж","â€¢149; Ѭ href=""#russia"">Russian Silent FilmЖ","â€¢149; Ѭ href=""#czech"">CzechoslovakiaЖ","â€¢149; Ѭ href=""#hungary"">HungaryЖ","â€¢149; Ѭ href=""#poland"">PolandЖ","â€¢149; Ѭ href=""#romania"">RomaniaЖ","â€¢149; Ѭ href=""#yugo"">Yugoslavia/Serbia/Croatia/MacedoniaЖ"
"Come and See (Idi i smotri) (1985)","Directed by Elem Klimov. Cast: A. Kravchenko, O. Mironova, L. Lautsyavichyus, V. Bagdonas, Yu. Lumiste, V. Lorench, K. Rabechkii, E. Tilicheev. Young Florya willing joins the Partisans fighting the Nazis in Byelorussia, USSR during World War II. Separated from his comrades during a paratroop attack and struck deaf by German artillery, Florya, in the company of peasant girl, Glascha, wanders through the battle-scorched Russian forests and man-made slaughter. He witnesses an SS unit's spontaneous, self-congratulatory applause at their own butchery. 145 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1164"">DVD 1164Ж","â€¢149; Ѭ href=""%20http://us.imdb.com/Title?0091251"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Ѭ href=""http://www.cinema.mosfilm.ru/Film.aspx?id=d3be47b0-7a25-412d-a58a-e729eff627d9"">View this video onlineЖ
Reviews and articles:

â€¢149;Menashe, Louis. ""Patriotic Gauze, Patriotic Gore Russians at War."" Cineaste; Summer2004, Vol. 29 Issue 3, p26-29, 4p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=13588073&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Michaels, Lloyd. ""Come and See (1985): Klimov's Intimate Epic."" Quarterly Review of Film & Video, May2008, Vol. 25 Issue 3, p212-218, 7p Ѭ href=""http://www.informaworld.com/smpp/ftinterface~db=all~content=a793702717~fulltext=713240930"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Stein, Elliott. ""Come and See indelible images: The war at ground zero."" Film Comment, Sep/Oct98, Vol. 34 Issue 5, p31, 2p Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00102073"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Youngblood, Denise J. ""A war remembered: Soviet films of the Great Patriotic War."" American Historical Review; 2001, Vol. 106 Issue 3, p839-956, 118pѬ href=""http://www.jstor.org/stable/2692327"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Youngblood, Denise J. ""Post-Stalinist cinema and the myth of World War II: Tarkovskii's ""Ivan's Childhood""(1962) and Klimov's ""Come and See""(1985)"" Historical Journal of Film, Radio & Television, 1994, Vol. 14 Issue 4, p413-419, 7p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=hia&AN=H001532551.01&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

"
"Confession (Povinnost) (1998)","Directed by Aleksandr Sokurov. Documentary-like program about the lonely and isolated lives of the captain and sailors stationed aboard a Russian battleship in the Barents Sea. The film reveals the daily duties associated with the ship, but it is really about solitude and isolation. Voice-over narration by the commander and other sailors provide the ""confession"" of the title. Originally broadcast in 1998 in Russia as a five part television series. 210 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2684"">DVD X2684Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0435983/"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#sokurov"">Aleksandr Sokurov bibliographyЖ


"
"The Cranes are Flying (Letyat Zhuravli) (1957)","Directed by Mikhail Kalatozov. Cast: Tatiana Samohilova, Aleksei Batalov, Vasilii Merkurev, A. Shvorin, S. Kharitonova. Boris' and Veronica's marriage plans are interrupted when Boris enlists in the Soviet army after the German invasion of Russia. Veronica eventually succumbs to the seduction of Boris' cousin, Mark, but subsequently redeems herself by nursing the wounded amidst the terrible suffering of the Russian civilian population during World War II. 91 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1162"">DVD 1162Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1028"">vhs 999:1028Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0050634/"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Ѭ href=""http://www.cinema.mosfilm.ru/Film.aspx?id=0bc60e0d-01ab-4fb9-8743-9088642d7db5"">View this video onlineЖ

â€¢149;Awards
â€¢149; Cannes Film Festival - Palme d'Or


Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#cranes"">See separate bibliography of reviews and articles about this filmЖ"
"Dersu Uzala (Soviet Union | Japan, 1974)","Director: Akira Kurosawa. An enthralling tale of an eccentric Mongolian frontiersman who is taken on as a guide by a Soviet surveying crew. While the soldiers at first perceive Dersu as a naive and comical relic of an uncivilized age, he quickly proves himself otherwise with displays of ingenuity and bravery unmatched by any member of the inexperienced mapping team, on more than one occasion becoming their unlikely savior. Originally made as a motion picture in 1974 as a joint Soviet and Japanese production. 140 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+408"">DVD 408Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVHS+999:2040"">VHS 999:2040Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt000071411"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Ѭ href=""http://www.cinema.mosfilm.ru/Film.aspx?id=61e227dd-56dc-4529-9906-981066fabbbd"">View this video onlineЖ

â€¢149;Awards
â€¢149; Academy Award - Foreign Language Film


"
"The Deserter (Desertir) (1933)","Directed by Vsevolod Pudovkin. A German shipyard laborer joins a worker's strike in defiance of a corrupt union and regardless of the company's violent reprisals. Starved, beaten and discouraged, he is sent in an envoy to the USSR and is rejuvenated by the spirit of cooperation and optimism of the idyllic workers' state. 100 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8554"">DVD 8554Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1690"">vhs 999:1690Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0023939/"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#pudovkin"">Pudovkin bibliographyЖ

"
"Directed by Andrei Tarkovsky.","This film shows the director Andre Tarkovskij in action as he makes his own picture 'The Sacrifice'. The program explains the motivation behind the film and contains illumination of Tarkovskij's working methods and style and how he overcame various technical problems during the film-making. Includes interviews with members of the cast and crew. Originally produced as motion picture in 1988. 107 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7170"">Video/C 7170Ж"
"Divided We Fall (Musime si pomahat) (2000)","Director, Jan Hrebejk. Cast: Boleslav Polívka, Csongor Kassai, Jaroslav Dusek, Anna Sisková, Jirí Pecha, Martin Huba, Simona Staaová, Vladimír Marek, Jirí Kodet. During World War II and the Nazi occupation of Czechoslavakia, a couple, Josef and Marie, decide to hide a young Jewish neighbor in their small apartment. They keep getting a visit from their neighbor, Horst, who is a German sympathizer who has his eye on Marie. When she rejects his advances he seeks revenge by trying to move a Nazi clerk into their home, forcing the couple to tell a lie that will change their lives forever. 122 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1227"">DVD 1227Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0234288"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Neufeld, James. ""Divided We Fall: Subtitles, Sound, and the Postwar Reconstruction of Language."" Religion & the Arts, Sep2008, Vol. 12 Issue 4, p559-568, 10p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=35104098&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

"
"Dolce...(Russia / Japan, 2000)","Directed by Alexander Sokurov. One of a series of ""Japanese"" videos by Alexander Sokurov. Dolce is a form of documentary about a well-known Japanese writer, Toshio Shimao, who died in 1986, his widow and their daughter. It serves as a framework to underline the film's deep insight into the biographical narration. There is but one way to touch that world, to feel its exquisite flavour and its perverse pain - to do it as in a lyrical music piece, tenderly, dolce. 61 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2683"">DVD X2683Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0263277/"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#sokurov"">Aleksandr Sokurov bibliographyЖ

"
"The Donkey's Hide (Oslinaya shkura) (1982)","Directed by Nadezhda Kosheverova. Cast: Vladimir Etouch, Svetlana Nemolyaeva, Vera Novikova. Based on the fairy tale by Charles Perrault, tells the story of the arrival of a wicked fairy at the christening of Therese, daughter of King Gaston IX. But the wicked fairy's curse is circumvented by a good fairy who puts a donkey's hide on the princess, so she will not be recognised and also gives the princess a magic ring capable of making its wearer change his or her appearance. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2351"">DVD 2351Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0187375/"">Credits and other information from the Internet Movie DatabaseЖ"
"Elegy of a Voyage (Elegiya dorogi; Élégie de la traversée) (France | Russia | Netherlands, 2001)","Directed by Aleksandr Sokurov. In Élégie de la traversée, Sokurov crosses vast terrain, sails the high seas, and stumbles through congested cities to arrive at the doors of the empty Boijmans Museum in Rotterdam. Only then does he discover that the goal of his voyage was to bask in the power of St. Mary's Square, a beautiful landscape by Peter Saenredam. 48 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2633"">DVD X2633Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0297101/"">Credits and other information from the Internet Movie DatabaseЖ

See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#sokurov"">Aleksandr Sokurov bibliographyЖ


"
"Elegy of the Land","Directed by Aleksandr Sokurov. Contents: Maria: Made in memory of Russian peasant Maria Semionovna Voinova, a woman who grew flax, and after her death, her secrets and methods of working the fields were lost. The Last Day of a Rainy Summer: Filmed on a kolkhoz, a collective farm. After several years of low crop yields, the kolkhoz was in poor condition. 48 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2633"">DVD X2633Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0297101/"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#sokurov"">Aleksandr Sokurov bibliographyЖ

"
"Falling Leaves (Giorgobistve; La chute des feuilles) (1968)","Director, Otar Iosseliani. Cast: Ramaz Giorgobiani, Gogi Kharabadze , Marina Kartsivadze, Aleqsandre Omiadze, Baadur Tsuladze, Tengiz Daushvili. A young idealist takes a job at a local state run winery only to discover and become disillusioned by the corruption of the Soviet state. 91 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4448"">DVD 4448Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0171343/"">Credits and other information from the Internet Movie DatabaseЖ

","See also:","â€¢149;Lopate, Phillip. ""Georgia on My Mind."" Film Comment. New York: Jan/Feb 2005. Vol. 41, Iss. 1; pg. 56, 6 pgs Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00308867"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Shatirishvili, Zaza. ""The montage of Tbilisi culture."" Film International 2006, Vol. 4 Issue 23, p48-51, 4p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=23122056&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ"
"Father and Son (Otets i syn) (2003)","Director: Aleksandr Sokurov. Cast: Andrey Shchetinin, Aleksey Neymyshev, Alexander Razbash, Fedor Lavrov, Mavina Zasukhina. A father and son live together in a rooftop apartment. They have lived alone for years in their own private world. Sometimes they seem like brothers, at other times they appear to be like lovers. Following in his father's footsteps, the son, Alexei attends military school. He likes sports and has problems with his girlfriend. She is jealous of Alexei's relationship with his father. Alexei's father knows he should maybe accept a better job in another city, maybe search for a new wife. But who will ease the pain of Alexei's nightmares? 83 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X599"">DVD X599Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0363249/"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#fatherson"">See separate bibliography of reviews and articles about this filmЖ"
"Five Evenings (Pyat vecherov)(1979)","Directed by Nikita Mikhalkov. Cast: Liudmila Gurchenko, Stanislav Liubshin, Valentina Telichkina, Larisa Kuznetsova, Igor Nefedov. Set in the 1950s, Soviet life is examined through the lives of the residents in a communal apartment and in particular a couple separated by the war. Twenty years later fate has brought Alexander and Tamara back together. Can they find the courage to admit that their feelings are just as strong as ever? Based on the play by Alexander Volodin. 98 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4652"">DVD X4652Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0079764/"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Graffy, Julian. ""Urga."" The Slavonic and East European Review, Vol. 72, No. 1 (Jan., 1994), pp. 189-191 Ѭ href=""http://www.jstor.org/stable/4211468"">Full-text of this article / review is available:UC users onlyЖ




See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#mikhalkov"">Nikita Mikhalkov bibliographyЖ


"
"Golden Horns (Zolotye Roga) (1972)","Directed by Aleksandr Rou. Cast: Raissa Ryazanova, Volodya Belov, Ira Chigrinova, Lena Chigrinova, Georgy Millyar, Alexei Smirnov, Lev Potyomkin. Yuri Kharchenko, Anatoly Gorbachev. Based on an old Russian fairy tale, tells the story of a woman searching for children taken by the old witch Baba Yaga. Along her way she comes to the aid of the noble deer called Golden Horns. In gratitude for her aid, Golden Horns gives the woman a magic ring and information which leads her to an encounter with Baba Yaga. 74 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2328"">DVD 2328Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0069544/"">Credits and other information from the Internet Movie DatabaseЖ
"
"Goluboi ogonek (TV, 1962-1970)","Selections from the 1960's arranged by year from the soviet television musical variety program Goluboi ogonek. Disc 1: 1962 -- Disc 2: 1963 -- Disc 3: 1964 -- Disc 4: 1965 -- Disc 5: 1966 -- Disc 6: 1967 -- Disc 7: 1968-1970. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8156"">DVD 8156Ж"
"Goluboi ogonek (TV, 1981-1988)","Selections from the 1980's arranged by year from the soviet television musical variety program Goluboi ogonek. Disc 1: 1981 -- Disc 2: 1982 -- Disc 3: 1983 -- Disc 4: 1984 -- Disc 5: 1985 -- Disc 6: 1986 -- Disc 7: 1987 -- Disc 8: 1988. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8157"">DVD 8157Ж"
"Guerrilla Brigade (Vsadniki) (1939)","Directed by Igor Savchenko. Cast: Lev Sverdlin, Stepan Shkurat, Mikhail Troyanovsky, Piotr Masokha, Leonid Kmit. A drama about the welcome, by some Ukrainians, of the German army into Ukraine in 1918, and resistance of the invaders by other Ukrainians. 110 min. 999:3671","â€¢149; Ѭ href=""%20http://us.imdb.com/title/tt0032103/"">Credits and other information from the Internet Movie DatabaseЖ
"
"Gypsies are Found Near Heaven (Tabor ukhodit v nebo) (Soviet Union, 1995)","Directed by Emil Loteanu. Cast: Grigore Grigoriu, Svetlana Toma, Ion Sandri Shkurya, Pavel Andreichenko, Sergiu Finiti, Borislav Brondukov, Lialya Chornaya, Nelli Volshaninova, Vsevolod Gavrilov, Barasbi Mulayev, Mikhail Shishkov, Nikolai Volshaninov, Vassily Simich, Yelena Sadovskaya. This colorful, music-filled and sensual melodrama based on early stories by Maxim Gorky tells the fatal love story between the beautiful and rebellious girl Rada and the handsome horse thief Zobar. The story is set in early 20th century Bessarabia, now part of Moldova, then belonging to the Austro-Hungarian Empire. Special features: Maxim Gorky's biography; interviews with actress S. Toma and composer Y. Doga; filmographies; photo album. Based on a story by Maxim Gorky. 101 min.","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7855"">DVD 7855Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0073781/"">Credits and other information from the Internet Movie DatabaseЖ"
"Hamlet (Gamlet)(1964)","Directed by Grigory Kozintsev. Cast: Innokenti Smoktunovsky, Mikhail Nazvanov, Elsa Radzin, Yuri Tolubeyev, Anastasia Vertinskaya. A Russian production of Hamlet with music by Dmitri Shostakovich. In this Shakespearean tragedy Hamlet, a prince of medieval-era Denmark, senses treachery behind his royal father's death. Based on the play: Hamlet by William Shakespeare as translated into Russian by Boris Pasternak. 140 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6529"">DVD 6529Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0058126/"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/ShakespeareBib.html#hamletkozintsev"">See separate bibliography of reviews and articles about this filmЖ"
