"Source:","http://www.lib.berkeley.edu/MRC/asianamgen.html"
"

General and Miscellaneous Works
"Skin Deep.","A diverse group of college students reveal their honest feelings and attitudes about race and racism. Students from 3 major universities are interviewed alone on topics including the climate toward talking about race on campus, self separation of ethnic groups, discrimination, affirmative action policies and individual responsibility for change. Concludes with a diverse group of 23 students from 6 major American universities who spent 3 days together to collectively challenge one another with dialogue focusing on such topics as the concept of individual responsibility, feeling separated from each other, wanting others to understand and what can be done to move awareness to action. 53 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3705"">DVD 3705Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4055"">Video/C 4055Ж","General and Miscellaneous Works"
"The Slanted Screen","From silent film star Sessue Hayakawa to Harold & Kumar Go to Whitecastle, The slanted screen explores the portrayals of Asian men in American cinema, chronicling the experiences of actors who have had to struggle against ethnic stereotyping and limiting roles. The film presents a critical examination of Hollywood's image-making machine, through a fascinating parade of 50 film clips spanning a century. Special features: A tribute to Mako (8 min.) ; ""Influencing the image makers"" : Oct. 5, 2006 panel discussion at the Academy of Motion Picture Arts and Sciences (45 min.) 2006. 61 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6998"">DVD 6998Ж","General and Miscellaneous Works"
"Slaying the Dragon Reloaded.","Updates the documentary Ѭ href=""#dragon"">Slaying the DragonЖ by noting the effects of globalization and a changing population within the past 25 years. Includes interviews with actresses and other Asian American women who describe their experiences of such stereotyping. Directed/Produced by Elaine H. Kim. 2011. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6053"">DVD X6053Ж","General and Miscellaneous Works"
"Slaying the Dragon.Ж","This film analyzes the roles and images of Asian women promulgated by the Hollywood film industry and network television over the past fifty years. Also interviews Asian American women and their responses to the impact these stereotypes have on their relationships, their work, and themselves. Produced/directed by Deborah Gee. 60 min. ;  
Ѭ href=""http://www.lib.berkeley.edu/MRC/onlinecopyright.html"">© noticeЖ
â€¢149;Ѭ href=""http://digitalassets.lib.berkeley.edu/mrc/ucb/video/slayingthedragon.mp4"">View this video onlineЖ 
UC Berkeley users only - Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8550"">DVD 8550Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6053"">DVD X6053Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1496"">Video/C 1496Ж","General and Miscellaneous Works"
"Related web sites:","â€¢149; Ѭ href=""http://distribution.asianamericanmedia.org/browse/film/?i=191"">Center for Asian American Media catalog descriptionЖ","General and Miscellaneous Works"
"Some Questions for 28 Kisses.","Confronts the viewer with images of Asian female/non-Asian male pairings in American movies and mass media. Examines topics such as interracial dating, ethnic fetishes, and race identity. 16 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4178"">Video/C 4178Ж","General and Miscellaneous Works"
"Related web sites:","â€¢149; Ѭ href=""http://distribution.asianamericanmedia.org/browse/film/?i=192"">Center for Asian American Media catalog descriptionЖ","General and Miscellaneous Works"
"Stories of Maxine Hong Kingston . (World of ideas with Bill Moyers)","Interview with Maxine Hong Kingston, author of Chinese American ethnic literature, in which she relates her life experiences growing up in California as a first generation Chinese American. 1990. 56 min. ; also ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1957"">DVD 1957Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1882"">Video/C 1882Ж","General and Miscellaneous Works"
"Full-text review from:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/MaxineKingston.html"">ABC-CLIO Video Rating Guide for LibrariesЖ","General and Miscellaneous Works"
"Stories My Country Told Me: with Maxine Hong Kingston.","Facing the reality of what happened in Southeast Asia and bringing others together to reconcile with it, has become the life work of novelist Maxine Hong Kingston, who teaches Buddhism and creative writing to Vietnam veterans. In this program Kingston explores the causes and effects of alienation from one's country and travels to France accompanied by Vietnam veteran writers to meet with Thich Nhat Hahn, a Buddhist monk instrumental in the peace accords ending the Vietnam War. 1996. 58 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6892"">Video/C 6892Ж","General and Miscellaneous Works"
"Stuart Gaffney: Compilation tape. Number 1: Hapa and Asian-themed Video Works","Presents films from Stuart Gaffney who produces short works on AIDS, queer and Eurasian identities. Films in his first compilation tape focus on queer Hapa and Asian-themes Contents: Cunanan's conundrum (col., 11 min., 1998) -- Names (b&w, 8 min, 2000) -- Secret sounds (b&w, 4 min., 2001) -- Transgressions (b&w, 6 min., 2002) -- Chinese Tom (b&w, si., 3 min., 2003) -- Introductions (b&w, 7 min., 1999). 1994. 24 min. (for other Stuart Gaffney films, SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/GayVid.html"">Gay, Lesbian, and Transgender StudiesЖ] 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM72"">Video/C MM72Ж","General and Miscellaneous Works"
"Sweet or Spicy?","In the context of a telephone dating service, this film examines dating relationships for men of mixed Asian/white descent and probes Asian American male sexuality in popular culture. c2000. 7 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8321"">Video/C 8321Ж","General and Miscellaneous Works"
"Takaki, Ron, Spring 1997. (Berkeley Writers at Work)","A brief lecture by professor and author Ron Takaki, followed by an interview in which he discusses his writing process and his insights on the ""hidden history"" of minorities in America, followed by questions from the student audience. 79 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5872"">Video/C 5872Ж","General and Miscellaneous Works"
"That's the Way Love Goes?","An unpretentious yet sophisticated look at teen ""girlfriends"" and ""boyfriends"" and how the terms rarely connote commitment. 6 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4175"">Video/C 4175Ж","General and Miscellaneous Works"
"Related web sites:","â€¢149;Ѭ href=""http://distribution.asianamericanmedia.org/film/?i=188"">Center for Asian American Media catalog descriptionЖ","General and Miscellaneous Works"
"Tea & Justice: The Life & Times of NYPD's 1st Asian Women Officers","Tea & Justice chronicles the experiences of three women who joined the New York Police Department during the 1980s--the first Asian women to become members of a force that was largely white and predominantly male. In this award-winning documentary, Officer Trish Ormsby and Detectives Agnes Chan and Christine Leung share their fascinating stories about careers and personal lives, as well as satisfactions and risks on the job, the stereotypes they defied, and how they persevered. Bonus features: Trailers; bios of Agnes, Trish, Christine & Margie; director Ermena Vinluan's bio; key crew bios; director's statement; synopsis; awards & film screenings; production anecdotes; links and bibliography. Director, writer, Ermena Vinluan. 2007. 55 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4668"">DVD X4668Ж","General and Miscellaneous Works"
"Related web sites:","â€¢149;Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Women Make Movies catalog descriptionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc779"">s/c779Ж","General and Miscellaneous Works"
"Tenderloin Stories","Compilation of sixteen dramatic video works by fifteen and sixteen year old Asian American directors and actors from San Francisco. Contents: Now & then: Who I became / a film by Mike Siv, Aram Collier - Homegirls can have fun too / director, Timmy Hoang ; scriptwriters, Sara Sin, Channaly P. -- The Early years: The lost doll / produced and directed by Khoa Nguyen and Joe San -- Private / directed & written by Gia Hy Chung -- Punk / director, Don Bonus -- The Tenderloin, just another hood / editor-director, Roth Ham -- Table for Thu / director-editor, Linh Nguyen -- Point... we're not aliens / written, directed, shot, and even edited by Tracy Diep -- TL stories: Just deal wit it / directed by Christina Duculan ; written by Christina Duculan, Cindy Heng, Sally Mounlasy, & Crystal Ng -- Express lane / written 7 directed by Aram Collier and Rudy Choy -- Get off your koot / a video by Ra Sek -- Digi-TL: TL Xmas / produced by Spencer Nakasako, Sokly Don Bonus Ny, Sean Thomas -- TY style / produced & directed by Paul Meas, David Monk -- School Daze (excerpt) / a production of the Vietnamese Youth Development Center ; in cooperation with the San Francisco Unified School District ; produced & directed by Spencer Nakasako -- Freedom on the block? /r produced by Sammy Soeun, James Varian. Special features: Video synopsis ; Where are they now? ; Spencer's workshops ; Media lab history ; credits. 2005. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4770"">DVD X4770Ж","General and Miscellaneous Works"
"Toc Storee","Film uses a storytelling format to explore issues of sexuality, tradition and identity in Asian gay contexts. 22 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3811"">Video/C 3811Ж","General and Miscellaneous Works"
"Related web sites:","â€¢149; Ѭ href=""http://distribution.asianamericanmedia.org/browse/film/?i=212"">Center for Asian American Media catalog descriptionЖ","General and Miscellaneous Works"
"Twenty Years After: The Third World Strike.","Original footage from the Third world strike and a discussion on what happened, why it happened, and what has happened since, with Carlos Munoz, Jr., Anthony Garcia, Octavio Romano V, Troy Duster.   

â€¢149;Ѭ href=""http://digitalassets.lib.berkeley.edu/mrc/ucb/video/thirdworldstrike.mp4"">View this video onlineЖ 
Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1188"">DVD 1188Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1403"">Video/C 1403Ж","General and Miscellaneous Works"
"Understanding Race.","Examines the history and power of the artificial distinction called ""race"", viewing it within historical, scientific, and cultural contexts. Topics include the anthropological unity of Homo sapiens; sanctioned discrimination, such as segregation; cultural biases based on racial stereotypes; and the underlying humanity that inextricably links us all. 1999. 52 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7183"">Video/C 7183Ж","General and Miscellaneous Works"
"Vincent Who?Ж","Looks at the legacy of the case of Vincent Chin, a young Chinese American man who was attacked and killed at his bachelor's party at a suburban Detroit bar by current and former autoworkers who were unhappy with competition from Japanese auto manufacturers. The case attracted wide attention after Chin's attackers struck a plea bargain and were sentenced to three thousand dollars in fines and three years in prison, time that they never were required to serve after posting bail. Indignation by the Asian American community and others led to further charges being filed against the perpetrators. The film explores how the murder of Vincent Chin continues to have meaning to society today, as well as how the hate crime remains unknown or forgotten in many Americans' minds. Written & produced by Curtis Chin ; directed by Tony Lam. 2009. 40 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3182"">DVD X3182Ж","General and Miscellaneous Works"
"See also:","â€¢149;Ѭ href=""#vincentchin"">Who Killed Vincent ChinЖ","General and Miscellaneous Works"
"Visions of a Common Good: A Conversation on Race, Ethnicity, and American Common Ground","Nathan Glazer, Ronald Takaki, Robert Pickus. William Simmons, moderator. Professors Glazer (Harvard) and Takaki (UCB) seek to define a common cultural ground for an America that is diverse, united and fulfills the best of its founder's values. Co-sponsors, World Without War Council, James Madison Foundation and the Center for Teaching and Study of American Cultures."" Joint lecture delivered 4/26/94 at the University of California Berkeley. 90 min. ; 
â€¢149;Ѭ href=""http://digitalassets.lib.berkeley.edu/mrc/ucb/video/2713.mp4"">View this video onlineЖ 
Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ
© UC Regents","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4221"">DVD 4221Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2713"">Video/C 2713Ж","General and Miscellaneous Works"
"Western Eyes","Examines the search for beauty and self-acceptance through the experiences of a young Filipina and Korean woman living in Canada who both believe their appearance, specifically their eyes, affect the way they are perceived. Both feel unsettled in Western society and are contemplating cosmetic surgery on their eyes. Layering interviews with references to super models and other pop-culture icons of beauty, the filmmaker captures the pain that almost always lies behind the desire for plastic surgery. Director, Ann Shin 1979. 40 min. ; 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3440"">DVD X3440Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7711"">Video/C 7711Ж","General and Miscellaneous Works"
"Related web sites:","â€¢149;Ѭ href=""http://www.icarusfilms.com/new2001/west.html"">Description from Icarus Films catalogЖ","General and Miscellaneous Works"
"What's Race Got to Do with It?","This program ""chronicles the experiences of a new generation of college students, in this case over the course of 16 weeks of intergroup dialogue on the U.C. Berkeley campus. As they confront themselves and each other about race, they discover they often lack awareness of how different their experience of campus life is from their peers, to the detriment of an inclusive campus climate. Special features (46 min.): Optional audio commentaries and excerpted interviews with Dave Stark & Jerlena Griffin-Destra (course goals & objectives, creating a space for dialogue, students' lives as the curriculum, course history : how conflict emerges, socioeconomic disparities, assessing the process, facing issues that arise). Written, directed and produced by Jean Cheng. 2006. 49 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6626"">DVD 6626Ж","General and Miscellaneous Works"
"Related web sites:","â€¢149; Ѭ href=""http://www.newsreel.org/nav/title.asp?tc=CN0188"">Description from California Newsreel catalogЖ","General and Miscellaneous Works"
"What's Wrong with Frank Chin?","Documentary about the work and life of Chinese American author Frank Chin and his role in the changing perception of Asian Americans by Asian Americans and American society in general. Chin's role in creating Aiiieeeee!, an anthology of Asian American writers; The Asian American Theater Workshop and the Asian American Writer's Conference is discussed by numerous friends and writers who have been influenced by Chin. A documentary by Curtis Choy. 2005. 97 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3756"">DVD 3756Ж","General and Miscellaneous Works"
"Where Strangers Become Neighbours: The Story of the Collingwood Neighborhood House and the Integration of Immigrants in Vancouver","Explores the contemporary global social issue of immigration by looking at one neighbourhood in the city of Vancouver. Collingwood, a predominantly Anglo-European community until the 1980s, has been transformed by the arrival of large numbers of Asians, Africans and Latin-Americans. A neighbourhood that just 20 years ago was locking its doors, afraid of change, and telling immigrants to go back where they came from, is now a welcoming place for everyone. How did this happen? How did strangers become neighbours? 2007. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9250"">DVD 9250Ж","General and Miscellaneous Works"
"Who is Albert Woo?","Through interviews with Jackie Chan and other modern Asian men, this program examines the way identities are shaped by the media, history and cultural legacy and considers to what extent reductive stereotypes, such as the Yellow Peril and the martial arts master, distort reality. 2000. 53 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8044"">Video/C 8044Ж","General and Miscellaneous Works"
"Who Killed Vincent Chin?Ж","Video on racism in working-class America focuses on the murder of Vincent Chin, a Chinese-American, in a Detroit bar. Interweaves the murder with social concerns and questions about justice. 83 min.  
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9435"">DVD 9435Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1767"">Video/C 1767Ж","General and Miscellaneous Works"
"Related web sites:","â€¢149;Ѭ href=""http://filmakers.com/indivs/WhoVincentChin.htm"">Description from Filmakers Library catalogЖ","General and Miscellaneous Works"
""
"Why is Preparing Fish a Political Act?"
"With Silk Wings: Asian American Women at Work."
"Wong Flew Over the Cuckoo's Nest"
"Yellow Tale Blues: Two American Families."
"Yuki Shimoda : Asian American Actor."
"Yuri Kochiyama: Passion for JusticeЖ."
"The Asian American Experience.","Sound RecordingsЖ"
"Asian-American Women v.The Women's Movement.","Sound RecordingsЖ"
"Japanese American Internment.","Sound RecordingsЖ"
"Japanese Americans in the West.","Sound RecordingsЖ"
"Views from Within: The Japanese American Wartime Internment Experience.","Sound RecordingsЖ"
"Sound RecordingsЖ"
"Sound RecordingsЖ"
