"Source:","http://www.lib.berkeley.edu/MRC/GayVid.html"
"
Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies

"
"","Gay, Lesbian, Bisexual, Transgender,
"An Evening with Les Ballets Trockadero. Program 1","Contents: Swan Lake. Act II -- Le corsaire (Pas de deux) -- Go for Barocco -- The dying swan -- Raymonda's wedding. Presents performances by the all-male ballet troupe Ballets Trockadero de Monte Carlo. Founded in 1974 for the purpose of presenting a playful, entertaining view of traditional, classical ballet in parody form and in travesty, the comedy is achieved by incorporating and exaggerating the foibles, accidents, and underlying incongruities of serious dance. 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3277"">DVD 3277Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"An Evening with Les Ballets Trockadero. Program 2","Contents: Les sylphides -- Le grand pas de quatre -- Yes, Virginia, another piano ballet -- The dying swan -- Paquita. Presents performances by the all-male ballet troupe Ballets Trockadero de Monte Carlo. Founded in 1974 for the purpose of presenting a playful, entertaining view of traditional, classical ballet in parody form and in travesty, the comedy is achieved by incorporating and exaggerating the foibles, accidents, and underlying incongruities of serious dance. 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3278"">DVD 3278Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Fabulous! The Story of Queer Cinema","An overview of the history of gay and lesbian cinema, from Kenneth Anger's pioneering Fireworks (1947) to Ang Lee's Brokeback mountain (2005). Packed with interviews and an array of film clips from the genre, this documentary celebrates more than half a century of queer independent filmmaking. Special features: bonus interviews (Say your name and who you are, First gay film memories, Sex, Christine Vachon, Coming out). Produced and directed by Lisa Ades, Lesli Klainberg. c2005. 82 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6633"">DVD 6633Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Fast Trip, Long Drop.","Autobiographical documentary by Gregg Bordowitz chronicles his day to day life after testing positive for the HIV virus. With archival footage and an exuberant sound track film explores ethical and philosophical questions that the AIDS crisis provokes. c1993. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3724"">Video/C 3724Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Fear of Disclosure: the Psycho-Social Implications of HIV Revelation.","Musical video exploring the negative reaction of a potential gay lover to a man when he discloses his HIV-positive status. 1989. 25 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3828"">Video/C 3828Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Female Closet","Combining rare footage and interviews this documentary surveys the art and lives of various closeted lesbian women artists from different segments of the 20th century: Victorian photographer Alice Austen, Weimar collagist Hannah Hoch, and present day painter Nicole Eisenman. Produced, directed and edited by Barbara Hammer. c1998. 59 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7624"">Video/C 7624Ж","Related web sites:","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"â€¢149; Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Women Make Movies catalog descriptionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc441"">s/c441Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Final Solutions.","A Film by Jerry Tartaglia. This film examines teleculture's treatment of AIDS as a consumer image. c1990. 

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2694"">Video/C 2694Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Flag Wars","Filmed over a 4 year period, ""Flag Wars"" is a poignant account of the politics and pain of gentrification. It explores the effects on a long-established working-class black neighborhood in Columbus, Ohio when gay white professionals move into and begin to transform the area. The clashes expose prejudice and self-interest on both sides, as well as the common dream to have a home to call your own. Directed by Linda Goode Bryant; codirected by Laura Poitras Videocassette release of a documentary broadcast June 17, 2003 on PBS's Point of View television program. 90 min.  

Reviews and articles:","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4005"">DVD X4005Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9863"">Video/C 9863Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"â€¢149;Quart, Lonard. "" Flag wars."" Cineaste. Fall 2003. Vol. 28, Iss. 4; p. 72 Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=10892690&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Flesh & Paper","Gillian Hanscombe and others discuss the life and work of Indian lesbian poet and writer Suniti Namjoshi. Includes readings of her poetry and interviews with the author. 1990. 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9132"">Video/C 9132Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149;Ѭ href=""http://wmm.com/filmcatalog/page.shtml"">Women Make Movies catalog descriptionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc319"">s/c319Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Forbidden Love: The Unashamed Stories of Lesbian Lives.","Recounts the experiences of Canadian lesbian women in the 1950's and 1960's who sought romance in gay beer parlours and bars. Their stories are interwoven with a fictional love story and set against the tabloids and pulp novels of the time and illustrate the stereotypes and intolerance they faced. Directors/writers, Aerlyn Weissman, Lynn Fernie. 86 min. 1992. ; also contained in 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3206"">Video/C 3206Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4664"">Video/C 4664Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Full-text review from:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/ForbiddenLove.html"">ABC-CLIO Video Rating Guide for LibrariesЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Ѭ href=""http://www.lib.berkeley.edu/MRC/gaydocbib.html#forbidden"">See separate bibliography of reviews and articles about this filmЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Forever Bottom","A ""pseudo-instructional"" video that takes a humorous look at the stima attached to being on the receiving end in gay male sexual relationships. Ѭ href=""http://www.frameline.org"">FramelineЖ. c1999. 4 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7933"">Video/C 7933Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Freeheld","Detective Lieutenant Laurel Hester spent 25 years investigating tough cases in Ocean County, New Jersey, protecting the rights of victims and putting her life on the line. She had no reason to expect that in the last year of her life, after she was diagnosed with terminal cancer, that her final battle for justice would be for the woman she loved. The film chronicles Laurel's struggle to transfer her earned pension to her domestic partner, Stacie Andree. With less than six months to live, Laurel refuses to back down when her elected officials -- the Ocean County Freeholders -- deny her request to leave her pension to Stacie, an automatic option for heterosexual married couples. The film is structured chronologically, following both the escalation of Laurel's battle with the Freeholders and the decline of her health as cancer spreads to her brain. Directed by Cynthia Wade. Special features: 100 additional minutes of never-before-seen footage, including: Oscar Day: Behind the Scenes, The Making of Freeheld, Laurel and Stacie's Video Diary, Laurel's Childhood, Communities Respond to Freeheld. 2007. 140 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3241"">DVD X3241Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"F**k the Disabled: The Suprising Adventures of Greg Walloch","Part documentary, part concert film and part traditional comedy starring New York stand-up comedian Greg Walloch. Politically incorrect and politically challenging, much of Greg's act is based on his being openly gay and disabled. Timely and witty, Walloch makes the viewer question the term ""disabled,"" as he pokes fun at religion, society, his friends and himself. 2001. 83 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1185"">DVD 1185Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Gay and Lesbian Images on Television: An Overview","One in a series of satellite seminars which investigate how prime-time television is conceptualized and created. This film explores gay and lesbian images and issues presented in television sit-coms and dramas through comments by the creators of ""Thirtysomething,"" ""Ellen,"" and ""In the Life."" Includes clips from the shows and a call-in question-and-answer session. Panel: Howard Rosenberg, Donna Red Wing, Richard Kramer (""Thirtysomething""), Tim Doyle (""Ellen""), Rhona J. Bernstein, John Catania (""In the Life""). Presented at the Museum of Television and Radio, Los Angeles, California."" Preceded by an introduction by Mike Wallace and Bill Clinton to the newly opened Museum of Television and Radio in Los Angeles (5 min.). 1998. 89 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5684"">Video/C 5684Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Gay and Lesbian March on Washington, April 1993.","Produced by The Christian Action Network. A notorious Christian fundamentalist propaganda film. 1993. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3284"">Video/C 3284Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Gay Courage: One Hundred Years of the Gay Movement in Germany and Beyond (Schwuler Mut 100 Jahre Schwulenbe)","Begins with gay celebrities from the 19th century and catalogues mostly Western European gay history to the present day through archival footage, re-created scenes and interviews. Includes Oscar Wilde, a gay Nazi, a concentration camp survivor, gay rights pioneer Magnus Hirschfeld and even writer Hans Christian Anderson. Concludes with a visit to very gay-liberated San Francisco where the director captures the thoughts of gays from all walks of life including seniors, leather bears, queer parents and transsexuals. A film by Rosa von Praunheim. Originally produced for television, 1997. 76 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9520"">Video/C 9520Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Gay Republicans.","In 2004, Log Cabin -- the Gay Republican Club -- was put to the test. President Bush's unequivocal opposition to gay marriage presented them with a stark choice, whether to be good Republicans and support the president, or stand up for gay rights. This decision opened schisms that threatened the unity of Log Cabin, as politics got personal and individuals were forced to decide if being gay is more important than being Republican. Written & directed by Wash Westmoreland. c2005. 62 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4404"">DVD 4404Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Gay USA.","Film coverage of the 1977 lesbian and gay pride parades and marches throughout the United States. Intercut with on-the-street interviews with gay men and women on their lovers and how they came out. Ѭ href=""http://www.frameline.org"">FramelineЖ. 1977. 71 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6229"">Video/C 6229Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Gay Youth.","This is the first video to explore the emotional strain placed on gay youth with intense feelings of isolation that can lead to alcohol and drug abuse and suicide. c1992. 40 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3306"">Video/C 3306Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Gift.","Documents the phenomenon of deliberate HIV infection. The film follows the stories of two ""bug chasers"" who sought out ""the gift"" of HIV infection. Also interviewed are AIDS activist and author, Walt Odets, and HIV+ and HIV- men. The film explores the normalization and glamorization of HIV/AIDS and discusses the isolation and division caused by HIV status in the gay community. Bonus feature: Does anyone die of AIDS anymore? (26 min., 2002). Produced and directed by Louise Hogarth. 2002. 62 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5027"">DVD 5027Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Girls Kissing.","Goes behind the scenes with porn stars, a Penthouse photographer, ad execs and purveyors of adult sex toys to explore lesbian relationships. It also touches on underlying questions: Is the mainstream portrayal of lesbian sex accurate? How much pressure does this exert on otherwise straight women to explore lesbian relationships and does it confuse teenage girls or push them prematurely towards sexual experimentation? 2003. 49 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM359"">Video/C MM359Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Grapefruit: The Story of John and Yoko.","Featuring an all-female cast - including Shelley Cook as Ono, Susie Bright as Lennon - this film plays with the romanticized history of the iconic Fab Four, gently mocking John and Yoko's banal squabbles and obsessive rituals of self-display. The film works on many levels to reposition the mythic tale of the Beatles boy's life by casting '80's women in mod drag, effectively mapping the lesbian sub-culture onto heterosexual mass culture. Discounting the importance of historical accuracy, Dougherty gives an incisive reading of the creation of pop culture icons with John Lennon portrayed as a projection of our society's collective needs and desires. 1989. 40 min. Video 999:2003
","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"[Hammer, Barbara] Female Closet","Combining rare footage and interviews this documentary surveys the art and lives of various closeted lesbian women artists from different segments of the 20th century: Victorian photographer Alice Austen, Weimar collagist Hannah Hoch, and present day painter Nicole Eisenman. Produced, directed and edited by Barbara Hammer. c1998. 59 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7624"">Video/C 7624Ж","Related web sites:","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"â€¢149; Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Women Make Movies catalog descriptionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc441"">s/c441Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"[Hammer, Barbara] Films of Barbara Hammer, 1: Lesbian Humor.","A collection of six films (1974-1987) spanning the career of this filmmaker. ""Hammer's satiric use of technology corresponds well with the Eighties repression of sexual expression."" Contents: Menses (10 min.) -- Superdyke (20 min) -- Our Trip (4 min.) -- Sync Touch (10 min.) -- Doll House (3 min.) -- No No Nooky T.V. (12 min.). c1989. 59 min. total running time. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2740"">Video/C 2740Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
