"Source:","http://www.lib.berkeley.edu/MRC/pomo2.html"
"
Experimental and Avant Garde Artists, Performers, and Film Makers

Ж
"
"Contents - this page:
","â€¢149; Ѭ href=""#theater"">Theater and Performance ArtЖ","â€¢149; Artists A-I


","

[Click on a Name]
Marina Abramovic
Vito Acconci
Kathy Aker
Laurie Anderson
Ant Farm
John Baldessari
Matthew Barney
Julian Beck
Lynda Benglis
Bread and Puppet Theater
Peter Brook
Chris Burden
Burning Man Festival
David Byrne
John Cage
Peter Campus
DV8
Valie Export
Karen Finley
Fluxus
Richard Foreman
Joanna Frueh
Coco Fusco
Guillermo Gomez-Peña
Spalding Gray
Lynn Hershman
Gary Hill
Nancy Holt
Jenny Holzer
Bill Irwin

","â€¢149; Artists J-Z


","

[Click on a Name]
Joan Jonas
Allan Kaprow
Last Poets
Elizabeth LeCompte
Living Theater
James Luna
Mabou Mines
Dwight Marcus
Gordon Matta-Clark
Taylor Mead
Ana Mendieta
Meredith Monk
Linda Montano
Charlotte Moorman
Bruce Nauman
Claus Oldenburg
Yoko Ono
Open Theater
Nam June Paik
Ray Gun Theater
Martha Rosler
San Francisco Mime Troupe
Carolee Schneemann
Peter Sellars
Societas Raffaello Sanzio
Survival Research
Ulay
William Wegman
Robert Whitman
Hannah Wilke
Robert Wilson
Wooster Group

","â€¢149; Ѭ href=""#music"">Music/SoundЖ","â€¢149; Ѭ href=""#dance"">DanceЖ","â€¢149; Ѭ href=""#other"">OtherЖ","â€¢149; Art/photography SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/Artvid.html"">MRC Art/Photography videographyЖ","Experimental and Avant Garde Artists, Performers, and Film Makers"
"House/lights.","Cast: Kate Valk, Suzzy Roche, Roy Faudree, Ari Fliakos, Tanya Selvaratnam, Helen Pickett, Sheena See, John Collins. Performance of the Wooster Group's adaptation of Dr. Faustus lights the lights, using live actors and video, including Joseph Mawra's 1964 film ""Olga's house of shame"". The third disc is the documentary ""On tour"" by Ken Kobland, of the Wooster Group on tour in Glasgow, Scotland, June 2000. ""These discs are newly remastered, and an improved interface allows you to flip easily between three synchronous views of the complete performance - multi-angle edited footage, a wide shot, and the live and prerecorded video mix from the onstage monitors."" A complete performance of the play, viewed from various angles. Plus, On tour, a documentary and ...Zinger file. Bonus materials: Zinger file: ... you can view House/Lights while hearing Group members Elizabeth LeCompte, Kate Valk, Scott Shepherd , Ari Fliakos, and Willem Dafoe discuss what they see ; On tour: Fly-on-the-wall documentary of the Wooster Group by Ken Kobland. 2009 remastered version with optional commentary track. 360 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2424"">DVD X2424Ж","â€¢149;Elizabeth LeCompte"
"House/lights.","Performance of the Wooster Group's adaptation of Dr. Faustus lights the lights, using live actors and video, including Joseph Mawra's 1964 film ""Olga's house of shame"". The third disc is the documentary ""On tour"" by Ken Kobland, of the Wooster Group on tour in Glasgow, Scotland, June 2000. ""After Gertrude Stein's Dr. Faustus lights the lights."" Originally performed and taped in March 1999 at the Performing Garage, New York. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3495"">DVD 3495Ж","â€¢149;Elizabeth LeCompte"
"To You, the Birdie!","The Wooster Group's production of Paul Schmidt's version of Racine's Phèdre, re-set in a mobile modernist landscape of sliding plexiglass panels, omnipresent monitors, and hidden cameras. This disc presents the recording with magnified overlays of the action, designed by Ken Kobland. Cast: Ari Fliakos, Scott Shepherd, Sheena See, Kate Valk, Roy Faudree, Fiona Leaning, Koosil-ja Hwang, Dominique Bousquet, Suzzy Roche. Bonus materials: An original cast recording of the play featuring Willem Dafoe and Frances McDormand; On Tour (TYTB): a short documentary of behind-the-scenes vignettes by Juliet Lashinsky-Revene and Jack Dafoe. 180 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6781"">DVD X6781Ж","â€¢149;Elizabeth LeCompte"
"White Homeland Commando","Story 1: Adanazio -- Story 2: R.R. -- Story 3: Stephanie -- Story 4: Shelia -- Story 5: Cathy -- Story 6: Diana -- Story 7: Ray -- Story 8: Karl. An exploration of the lives of New York City detectives consisting of 8 short stories. Although fictional, the teleplay relies on a composite of actual filmed accounts of hate crimes. Shot and edited in a highly textured visual style, the colors are subdued yet somehow garish, and the sound is deliberately just out of sync with the speaker's lips. Occasional static combines with jumps in the plot reminiscent of a television viewer flipping channels. The Wooster Group's first work conceived solely for video, they have achieved an imaginative commentary on the rise of hate crimes, Klan-based electoral activity and white supremacist attitudes in the United States. Dist. Ѭ href=""http://www.eai.org/eai/"">Electronic Arts Intermix.Ж 1991. 63 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1064"">Video/C MM1064Ж","â€¢149;Elizabeth LeCompte"
"Liveartwork DVD. Issue 5, Mar 2007: Showcasing Contemporary Live Art.","Contents And / Gary Stevens (18:08) -- When will the September roses bloom? Last night was only a comedy / Goat Island (18:28) -- Cosas (The things) / Esther Ferrer (16:06) -- Two last breaths / Stuart Brisley (16:08) -- American foreign policy II & Undertow / Marilyn Arsem (12:42) -- 11th spectacle (the erotic) and the 8th spectacle / Stuart Sherman (17:26). And : Ordinary, everyday actions are constructed and broken down into discrete parts that promise and frustrate narrative development through repetition, which perpetuates an otherwise brief encounter -- When will the September roses bloom? : A dynamic structure reflects the performance's themes of repair and reversability and intentionally produces shifts in audience perception and interpretation -- 11th spectacle (the erotic)... : Rare video documentation from the early 80's of solo performances by Stuart Sherman, whose deadpan, conceptual sense of humor and wit was underscored by rigorous complexity and genuine experimentation -- Two last breaths : Here, Stuart Brisley, the godfather of British performance art, approaches the dilemma of the end of life, using the age old means of humor and horror -- American foreign policy... : Two performances by Marilyn Arsem which focus on creating site-specific works that respond to the history or politics of the country, engaging with the immediate landscape and materiality of the location -- Las cosas : Esther Ferrer presents a classic example of her very particular kind of performative minimalism, which she calls ""rigorous absurdity."" 100 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4377"">DVD X4377Ж","â€¢149;Liveartwork"
"The Brig.","A film by Jonas Mekas and Adolfas Mekas. Filmed performance of the play by Kenneth H. Brown. Originally released in 1964 by White Line Company as a motion picture. 65 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2987"">Video/C 2987Ж","â€¢149; Living TheaterЖ"
"The Connection.(1961)","Filmed version of a play with the same title by Jack Gelber. Based on the Living Theatre production created in 1961, as directed by Judith Malina and designed by Julian Beck. Film version of the play The Connection, by Jack Gelber. The play is about drug addicts waiting for a heroin dealer to bring the drug necessary for them to make their ""connection."" To help pass the time, four jazz musicians among the addicts start to play. The film was shot in a drug addict's apartment in New York City. 105 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+999:893"">Video/C 999:893Ж","â€¢149; Living TheaterЖ"
"Emergency.","In 1968 the experimental film troupe, Living Theatre, returned to America with a repertory of four new productions developed during their years of self-imposed exile in Europe. Their triumphant tour was in tune with the revolutionary aspirations of the late sixties, documented in this extraordinary film. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2988"">Video/C 2988Ж","â€¢149; Living TheaterЖ"
"Paradise Now.","An experimental film in which lines between political action, psychotherapy, tribal ritual and experimental theater are blurred to create a tale of social and esthetic breakthrough. 105 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2986"">Video/C 2986Ж","â€¢149; Living TheaterЖ"
"Signals Through the Flames.","Documentary on the Living Theater. 1983 97 min.  [preservation copy] 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6187"">DVD X6187Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1438"">Video/C 1438Ж","â€¢149; Living TheaterЖ"
"The History of the Luiseño People: La Jolla Reservation, Christmas 1990","A Native American man makes Christmas phone calls to family members that he will not be with for the holiday, revealing his loneliness and alienation. Written and performed by James Luna; produced and directed by Isaac Artenstein. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5149"">Video/C 5149Ж","â€¢149;James Luna"
"Reviews and articles:","â€¢149;Kathleen McHugh. Biography. ""Profane Illuminations: History and Collaboration in James Luna and Isaac Artenstein's The History Of The Luiseño People."" Summer 2008. Vol. 31, Iss. 3; pg. 429, 33 pgs Ѭ href=""http://proquest.umi.com/pqdweb?did=1583550201&sid=1&Fmt=3&clientId=1566&RQT=309&VName=PQD"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;James Luna"
"Mabou Mines: The First 20 Years.","Discusses, through footage of earlier productions and interviews with ensemble members, the history of this avant-garde theater ensemble. 46 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3396"">Video/C 3396Ж","â€¢149; Mabou Mines"
"Newsroom from the West.","""This may be the last new art form to emerge from the 20th Century. It is undeniably the art form that opens the 21st. This is Pulse: what the ""beat"" movement was to the free-spirited artists of the 1950's, Pulse is to the sound byte-driven millennium."" Contents: News from the West: DVD collection mix -- News from the West: Single pulse mix -- H2: DVD collection mix -- H2: Stream of consciousness mix -- One long note: bonus and track. Performed by Chamber of Poets featuring Dwight Marcus and Charles Barth. 12 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+244"">DVD 244Ж","â€¢149; Dwight Marcus"
"14 Americans: Directions of the 1970s","Featuring: Vito Acconci, Laurie Anderson, Alice Aycock, Scott Burton, Peter Campus, Chuck Close, Nancy Graves, Joseph Kosuth, Gordon Matta-Clark, Mary Miss, Elizabeth Murray, Dennis Oppenheim, Dorothea Rockburne, Joel Shapiro.
Examines a diverse group of New York-based artists in order to record many of the most provocative works and ideas of the past decade. These artists created performances, sculptures, earthworks, tableaux, furniture, shaped canvases and more using unusual materials. In this ""idea art,"" their focus is often as much social and psychological as artistic. c2000. 91 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9105"">Video/C 9105Ж","â€¢149;Gordon Matta-Clark"
"Gordon Matta-Clark.","Presentations of videotapes of deconstruction of urban environments and documentary films by Matta-Clark. Splitting: Documents the major building cut made by Matta-Clark in a typical one-family house in New Jersey. Bingo/Ninths: In 1974, Matta-Clark made a cut in a house in Niagara Falls in which the artist divided the exterior facade into nine parts. Substrait: In this series of films Matta-Clark explored and documented the underground spaces of New York City. Splitting (1974, b&w and col., si. with English intertitles, 11 min.) -- Bingo/Ninths (1974, col. si., 10 min.) -- Substrait [Underground dailies] (1976, b&w and col.) Croton Aquaduct at Highgate (4 min.); 13th Street Storm sewer and pumping station (5 min.); New York Central Tracks and below ground Central Station (9 min.); Cathedral of St. John the Divine (5 min.); Archer Street extension of the BMT (5 min.); High pressure water tunnel no.3 (11 min.) ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6840"">Video/C 6840Ж","â€¢149;Gordon Matta-Clark"
"Gordon Matta-Clark.","Presentations of videotapes of deconstruction of urban environments and documentary films by Matta-Clark. Conical intersect: For the Paris Biennial in 1975, Matta-Clark made a major cut shaped like a twisted cone in houses adjacent to the Centre Georges Pompidou in Les Halles in Paris. Paris Underground: In this film Matta-Clark explored underground Paris. The artist shows the complexity of underground spaces with scenes of architectural ruins, car parks, tunnels, ossuaries, cellars, crypts and basements in the Opera district. Etant d'art pour locatair = Conical intersect (1975, col., si, 19 min.) -- Sous-sols de Paris = Paris underground (1977, b&w, in French, 19 min.) ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6841"">Video/C 6841Ж","â€¢149;Gordon Matta-Clark"
"Intersection Conique: Gordon Matta-Clark","Shows the Matta-Clark installation in Paris where he made a major cut shaped like a twisted cone in houses adjacent to the Centre Georges Pompidou in Les Halles for the Paris Biennial in 1975. Originally filmed in Paris in September, 1975. Dist.: Ѭ href=""http://eai.org/eai/"">Electronic Arts Intermix.Ж 17 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7688"">DVD 7688Ж","â€¢149;Gordon Matta-Clark"
"Office Baroque","Matta-Clark makes a cut in a five-story commerical building located in front of the Steen, a tourist spot in Antwerp. Tape includes an interview with the artist. Originally produced in 1977. 44 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5366"">DVD 5366Ж","â€¢149;Gordon Matta-Clark"
"Queens Project","In 1973 Gordon Matta-Clark bought 15 small, unusable odd lots termed ""gutterspaces"" in Queens and Staten Island at auction. Although the artists collected archival documents relating to the properties, his plans for using them were never realized. This footage, taken two years later, shows Matta-Clark, Betsy Sussler and Jaime Davidovich who went to Queens to document some of the purchases. Dist.: Ѭ href=""http://eai.org/eai/"">Electronic Arts Intermix.Ж 7 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7689"">DVD 7689Ж","â€¢149;Gordon Matta-Clark"
"The Wall","In 1976, as part of the Akademie der Kunst and Berliner Festwochen exhibition ""Soho in Berlin"", Gordon Matta-Clark went to Germany with the intention of blowing-up a section of the Berlin wall. Dissuaded by friends from such a suicidal action, the result was the following performance. Dist.: Ѭ href=""http://eai.org/eai/"">Electronic Arts Intermix.Ж 15 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1187"">Video/C MM1187Ж","â€¢149;Gordon Matta-Clark"
"See also:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/pomo.html#Rice"">Ron RiceЖ","â€¢149; Taylor MeadЖ"
"Related web sites:","â€¢149; Ѭ href=""http://www.channelp.com"">Taylor Mead web siteЖ","â€¢149; Taylor MeadЖ"
"See also:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/Carney.html"">Full-text article on beat generation film by Ray CarneyЖ","â€¢149; Taylor MeadЖ"
"Plates","A film by Gary Goldberg. Performer: Bill Rice, Taylor Mead.Experimental film of nonverbal communication between two gay men as they sit at a kitchen table. c1982. 35 min.  Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3257"">Video/C 3257Ж","â€¢149; Taylor MeadЖ"
"Selected Filmworks: 1972-81.","A collection of experimental films by the early Cuban artist, Ana Mendieta.
Contents: Untitled (Chicken piece, shot #2), 1972 -- Body tracks (Blood sign #2), 1974 -- Laberinth Silueta, Silueta series (Labyrinth blood imprint), Mexico, 1974 -- Untitled (Grass breathing), 1975 -- Burial of the Nanigo (Woman candle silueta #2, New York show), 1976 -- Candle Ixchell, Black Ixchell series (Black Ixchell Candle Ixchell), 1977 -- Volcan de Arena, Silueta series (Filmworks: Rocas y humo, San Felipe), Mexico, 1980 -- Isla, Iowa, 1981 -- Untitled (Figura que parece Egypta), Cuba, 1981 -- Untitled (Figura, Gunpowder en los cracks), Iowa, 1981. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art) 33 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5156"">Video/C 5156Ж","â€¢149;Ana Mendieta"
"Book of Days","""'Book of days' takes place primarily in the Middle Ages, but the characters and their concerns are deeply familiar. Monk draws parallels between this age of war, plague and fear of the Apocalypse, with our modern times of racial and religious conflicts, AIDS, and the fear of nuclear annihilation. 'Book of days' has a mythic quality, a sense of displacement; it encourages the viewer to ponder the ultimate fragility of the human experience."" Music performed by Meredith Monk, Robert Een, John Eppler, Ching Gonzalez, Andrean Goodman, Wayne Hankin, Naaz Hosseini, Nicky Paraiso, Nurit Tilles , Johanna Arnold, Joan Barber, Timothy Sawyer ; conducted by Wayne Hankin. 1988. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8997"">DVD 8997Ж","â€¢149; Meredith Monk"
"The Films of Meredith Monk","Summary: Book of Days: Imaginary vignettes of medieval town life; Ellis Island: visual images, basically without dialogue, of the immigrants and the ordeals they faced while waiting at Ellis Island to enter the United States at the beginning of the century. 105 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FD+106"">Video/D 106Ж","â€¢149; Meredith Monk"
"Ellis Island","A film about the experiences of immigrants entering America at the turn of the century, 'Ellis Island' was one of the last films shot on location before Ellis Island was restored. Neither documentary nor fiction, Monk describes the non-verbal 'Ellis Island' as a 'ghost story told through the musicality of images.'"" Music, Meredith Monk. Voices: Meredith Monk, Robert Een, Julius Eastman, Paul Langland, Andrea Goodman, Monica Solem ; cello solo, Robert Een. 1981. 28 min.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8997"">DVD 8997Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3397"">Video/C 3397Ж","â€¢149; Meredith Monk"
"Fried Shoes, Cooked Diamonds.","Featuring Allen Ginsberg, William Burroughs, Timothy Leary, Gregory Corso, Diane Di Prima, Peter Orlovsky, Meredith Monk, Amiri Baraka, Anne Waldman, Miguel Algarin and Chogyam Trungpa Rinpoche. Reunion of some leading poets of the ""Beat"" generation at the Jack Kerouac School for Disembodied Poetics, Naropa Institute, 1978. 55 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC1802"">Video/C1802Ж","â€¢149; Meredith Monk"
"Interview with Filmmaker Meredith Monk","In this extensive interview filmmaker Meredith Monk discusses the general principles and inspiration for her film works Ellis Island, and a Book of days. Monk is renowned for creating multi-disciplinary works which dwell in the spaces between music, theatre, and dance: ""I work inbetween the cracks, where the voice starts dancing, where the body starts singing, where theater becomes cinema."" 2006. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8997"">DVD 8997Ж","â€¢149; Meredith Monk"
"Meredith Monk: Inner Voice","Singer, dancer, filmmaker, composer, choreographer: Meredith Monk's talents include about as many artistic fields as could be imagined. This documentary celebrates her multidisciplinary career that draws from a wellspring of Zen Buddhist beliefs and spans a period of 40 years. Based on a wealth of materials including personal archives, film clips of performances, and interviews with her collaborators, as well as conversations with the artist herself. Bonus materials: live performance of Dolmen music ; tricycle interview with Babeth M. Vanloo. A film by Babeth M. Vanloo. 2010. 82 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3842"">DVD X3842Ж","â€¢149; Meredith Monk"
"Monk(4 American Composers)","Partial Contents: Dolman music -- Travelling quarry -- Ellis Island -- Turtle dreams.
Incorporates performance and conversations with Meredith Monk, an artist of many media, who has transcended the accepted boundaries of vocal song. She is her own composer, choreographer, and filmmaker who blends all of these into a unique style and content of performance. Here she performs with her vocal group. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3406"">Video/C 3406Ж","â€¢149; Meredith Monk"
"The Sensual Nature of Sound: 4Composers","Four women composers (Laurie Anderson, Tania Leon, Meredith Monk, Pauline Oliveros) talk about their backgrounds, musical development, and work. Although all are pioneers in American music, each pursues a distinct direction of her own. Filmed at rehearsals and performances in the United States and abroad, the program examines the contributions of these diverse composers to contemporary American music. 2000. 58 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8413"">Video/C 8413Ж","â€¢149; Meredith Monk"
"The Seven Stages of Intoxication","By blurring the fine line between art and life, performance artist Linda Montano addresses the problems of post-menopausal women. Through her performance as an alcoholic, she portrays how a woman needs to let go and accept the aging process and establish a new inner self. 1995. 34 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM42"">Video/C MM42Ж","â€¢149; Linda Montano"
"26'1.1499"" for String Player","Jud Yalkut's video realization of Charlotte Moorman and Nam June Paik's concert performance of John Cage's compositon 26'1.1499"" for String Player. In this extraordinary performance, which is manipulated and synthesized by Yalkut, Paik and Moorman, they play Cage's score on a collection of ""instruments"" that include a pistol, a dish of mushrooms, balloons, a practice aerial bomb, and a telephone call to President Nixon. Dist.: Ѭ href=""http://www.eai.org"">Electronic Arts Intermix.Ж 42 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1051"">Video/C MM1051Ж","â€¢149; Charlotte Moorman"
"The Chocolate Cello","A performance piece in which the avant-gardist cellist Charlotte Moorman, known fondly as the ""topless cellist,"" is smeared with chocolate, along with her instrument in New York City on Easter Sunday, 1973. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8158"">Video/C 8158Ж","â€¢149; Charlotte Moorman"
"Rare Performance Documents","Ranging in length from 2 to 8 minutes, these performances are from Nam June Paik's personal archives and date from 1961-1994. Many include collaborations with Charlotte Moorman. Vol. 1: Performance documentation, Aachen, Germany (1965) -- Charlotte Moorman at the Howard Wise Gallery (1969) -- TV bed, the Everson Museum of Art (1972) -- TV cello performance (1973) -- Waiting for commercial (performance, 1972) -- New television workshop performance (1917) -- Vol. 2: Hand and face (1961) -- Fluxus sonata at Anthology Film Archives (1975) -- Violin dragging, Brooklyn, NY (1975) -- Tribute to GM (aka Video Venus) (1978) -- Nam June Paik with The Bad Brains (1991) -- Evening with Nam June Paik at the Kitchen (1994) Dist.: Ѭ href=""http://www.eai.org"">Electronic Arts Intermix.Ж ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1050"">Video/C MM1050Ж","â€¢149; Charlotte Moorman"
"Video Synthesizer and TV Cello Collectibles: 1965-1971","Contents: Early TV experiments (1965-1968) / Nam June Paik -- Video commune (Beatles from beginning to end) / Nam June Paik -- TV cello premiere / Nam June Paik. Filmed by Jud Yalkut. Charlotte Moorman, TV cello. Charlotte Moorman, TV cello. Video commune filmed in 1970; TV cello premiere filmed in 1971 at the Bonino Gallery in New York City. These rare early collaborative works by Nam June Paik and Jud Yalkut are historically significant as well as remarkably prescient. Recorded between 1965 and 1971, these 'video-films' reveal insights into the evolution of Paik's work and are among the earliest explorations of the interfacing of film and video. Video Commune is Jud Yalkut's documentation of Paik's first interactive television ""performance"" and also marks the debut of the Paik/Abe Video Synthesizer. The images were generated directly from the synthesizer and mixed with prerecorded Japanese TV commercials with Beatles music. TV cello Premiere is a silent film of Charlotte Moorman in her first performance on Paik's ""TV cello,"" in 1971. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1053"">Video/C MM1053Ж","â€¢149; Charlotte Moorman"
"See also: Ѭ href=""http://www.lib.berkeley.edu/MRC/pomo.html#firstdecade"">Surveying the First Decade: Video Art and Alternative Media in the U.S.Ж","Bruce Nauman: Make Me Think","Features 60 works of art from the American conceptual artist Bruce Nauman, who uses film, video, neon, sculpture and performance to create works that reflect on love, violence, art and the art viewer. Includes commenting by Leo Castelli, Robert Storr, Joseph Kosuth and Joan Simon, who provide different insights into the work of this reclusive artist. Also features early film projections and video installations. Written and directed by Heinz Peter Schwerfel. 1997. 70 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9977"">DVD 9977Ж","â€¢149;Bruce Nauman"
"Monk","In this film an inverted camera catches Nauman standingat the opposite end of a room, slowly spinning aroundon one foot, first head down and then head up. Thetape is an exercise in the human machine becoming sometype of cog or mechanized weather vane. (Purchased with Stuart and Gail Buchalter Fund for the Study ofContemporary Art) 62 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5148"">Video/C 5148Ж","â€¢149;Bruce Nauman"
"Elke Allowing the Floor to Rise Up Over Her, Face Up","Presents a performance piece based on a set of mentalexercises devised by Nauman in 1969, in which a liveperformer concentrates on the mental image of sinkinginto the floor or allowing the floor to rise up overhim or her. 1973. 39 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM133"">Video/C MM133Ж","â€¢149;Bruce Nauman"
"Lip Sync","With the camera held upside down and focused in aclose-up of the artist's mouth, Nauman's lips andtongue articulate the words ""lip sync"" as the audiotrack shifts in and out of sync with the video. Thedisjunction created between what is seen and heardkeeps the viewer on edge, struggling to attach the sound of the words with the out of kiltermovements of Nauman's mouth. 1969. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM132"">Video/C MM132Ж","â€¢149;Bruce Nauman"
"Tony Sinking Into the Floor Face Up and Face Down","In this film, a companion to Elke, the performer's taskwas to imagine himself sinking into the floor. Theresulting images portray him stretched out on thefloor, sometimes face up, sometimes face down, in aseries of dissolves. 1973. 56 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM134"">Video/C MM134Ж","â€¢149;Bruce Nauman"
"Walk with Contrapposto","Nauman focuses his camera down the length of a long,twenty-inch corridor. With his hands clasped behindhis neck and swinging his hips, he animates a classiccontrapposto pose as he walks up and down the lengthof the corridor. 1968. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM135"">Video/C MM135Ж","â€¢149;Bruce Nauman"
"Wall/floor positions","In this performance piece, Nauman assumes a set of positions placing his body in a series of poses relative to a blank wall and the floor. He then repeats the sequence again away from the wall. 1969. 60 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM131"">Video/C MM131Ж","â€¢149;Bruce Nauman"
"â€¢149; Ѭ href=""#raygun"">See Ray Gun TheaterЖ","â€¢149;Claus Oldenburg"
"Nightwalk: A Collective Work","Pt. 1. The traveller prepares -- Creature explores -- Journey -- People's indictment -- Now I am -- Men's world and women's world -- Talking -- Dinner with the boss. -- Pt. 2. Sleepworld -- Losing and finding -- Songworld -- Creature imitates -- Battle -- Traveller speaks.
Participants: Members of The Open Theater (Raymond Barry, Shami Chaikin, Ralph Lee, Tom Lillard, Ellen Maddow, Jo Ann Schmidman, Tina Shepard, Paul Zimet).
The Open Theater group in its last performance before disbanding. ""Nightwalk"" is a collective theater piece; a montage of surreal situations that examine the human condition in worlds both real and fantastic, presenting exaggerations of human pretensions. The ""plot"" is a journey, liberated from conventional thought, in which human and birdlike creatures weave in and out. Originally broadcast in 1974 on the CBS television series ""Camera Three."" 56 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5193"">Video/C 5193Ж","â€¢149;Open Theater"
"The Serpent","Written by Jean Claude van Itallie, in collaboration with the Open Theater ensemble. Credits: Directors, Joseph Chaikin, Roberta Sklar ; producer/director, Jac Venza ; director for television by Sam Silberman.
In the play, The Serpent, episodes from Genesis combined with sequences depicting the assassinations of President John F. Kennedy and Martin Luther King, are intertwined to present the conflict between good and evil. 72 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3240"">Video/C 3240Ж","â€¢149;Open Theater"
"Terminal: A Collective Work","Contents: State of the dying: the dance of the graves of the dead -- Embalming as required by law -- Runner who never gets started -- Dead come through -- Marie Leveau and the soldier -- Cosmetics -- Initiation -- Responsible one -- Interview -- Executed man and the song -- The dying imagine their judgment. Producer/director, Merrill Brockway. Participants: members of The Open Theater (Raymond Barry, Shami Chaikin, Jo-Ann Schmidman, Tina Shepard, Paul Zimet, Henry Smith). Originally shown on the CBS television show Camera Three in 1970. 28 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5295"">Video/C 5295Ж","â€¢149;Open Theater"
"See also:"
