"Source:","http://www.lib.berkeley.edu/MRC/SSEAsiaVid.html"
"

"
"Contents:","â€¢149;Ѭ href=""#India"">South Asia: Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri LankaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sseasianamvid.html#south"">South Asian DiasporaЖ (separate page)
","â€¢149;Ѭ href=""#nepaltibet"">Tibet and NepalЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Vietnam, Laos, Cambodia, Thailand, BurmaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Indonesia / East TimorЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Australia/MelanesiaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">MalaysiaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">PhilippinesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html#pacific"">Pacific IslandsЖ"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AsianAmvid.html"">Asian American StudiesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/indianfilm.html"">South and East Asian cinemaЖ - films by South/Southeast Asian filmmakers","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/imagesasians.html"">The Movies, Race, and Ethnicity - a listing of movies with South/Southeast Asian diaspora themesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/ReligionVid.html"">Religions and Myths of the WorldЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/EthnographyVid.html"">Ethnography and Folk CultureЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PACSVid.html#viet"">Peace and Conflict StudiesЖ - documentaries and movies on the Vietnamese War"
"Related web sites:","â€¢149;Ѭ href=""http://www.bullfrogfilms.com/catalog/lslg.html"">Description from Bullfrog Films catalogЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Love in India","A filmmaker explores the cultural traditions and contradictions across the sexually conservative land of the Kama Sutra. A film by Q. (i.e., Qaushiq Mukherjee. 91 min. 2009. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5435"">DVD X5435Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Loving Krishna.","Explores the worship of Krishna in India within families and in large celebrations including the Celebration of Krishna's Birth and the Chariot Journey of Krishna. A film by Allen Moore and Akos Ostor. 1985. 40 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5836"">Video/C 5836Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Luv Kush: Ramayan Uttar Kand.","Sequel to the televison version of the ancient Indian classic, Ramayan. PAL format. In Hindi-Urdu. 1989. 8 videocassettes, 521 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3952"">Video/C 3952Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"M. Gopalakrishna Adiga","A presentation on the life and works of the Kannada author, M. Gopala Krishna Adiga, b. 1918. 1998. 60 min. PAL format. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6958"">Video/C 6958Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Made in India.","Portrait of the women's organization in India, called SEWA, that holds to the simple yet radical belief that poor women need organizing, not welfare. Inspired by the political, economic and moral model advocated by Gandhi, SEWA has grown since it founding to a membership of 217,000 and its bank now has assets of over $4 million. SEWA is at its core a trade union for the self-employed that offers union membership to d) the illiterate women who sell vegetables, pick up scraps for recycling from the streets and engage in small cottage industries. A film by Patricia Plattner. 1998. 52 min.; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5644"">DVD X5644Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7083"">Video/C 7083Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149; Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Women Make Movies catalog descriptionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc488"">s/c488Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Made in India: A Film About Surrogacy","A feature length documentary film about the human experiences behind the phenomena of ""outsourcing"" surrogate mothers to India. The film shows the journey of an infertile American couple, an Indian surrogate and the reproductive outsourcing business that brings them together. Weaving together these personal stories within the context of a growing international industry, the film explores a complicated clash of families in crisis, reproductive technology, and choice from a global perspective. Co-produced by Rebecca Haimowitz, Vaishali Sinha; co-directed by Rebecca Haimowitz, Vaishali Sinha. 2010. 97 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6322"">DVD X6322Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149; Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Women Make Movies catalog descriptionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc805"">s/c805Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Magra Mewar Vikas Sanstha.","Evaluation of efforts made by Magra Mewar Vikas Sanstha, a coordinating voluntary agency of village committees in Rajasthan that have taken up sustainable development of their common property resources based on the principles of contributory voluntary labor and equitable distribution of produce. This film evaluates these efforts in the context of on-going ecological degradation of the central Aravallis and governmental initiatives to remedy the situation. 1990. 68 min. PAL format ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+472"">Video/C 472Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Mahabharat: India's Greatest Epic.","This Hindu classic tells the story of the descendants of King Bharata, two families who lived in northern India, perhaps about 1200 B.C. The Pandava brothers lose their kingdom to their Kaurava cousins and engage in a mighty struggle to win it back. Many lives are lost in the conflict. The story illustrates the futility of war. Some of the heroes are taken from history, and some represent human ideals and gods.","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"1987.","â€¢149;PAL format, 47 videocassettes, ca. 3760 min.: some cassettes in Hindi only; some in Hindi with English subtitles. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3731"">Video/C 3731Ж","â€¢149;VHS format, 24 videocassettes, ca. 3899 min.: in Hindi with English subtitles. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5929"">Video/C 5929Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Mahabharata.","Directed by Peter Brook. The world of the Mahabharata is of profound storytelling power and spiritual import; within it a civilization rises, falls, and is reborn. This set contains ""The Game of Dice"", ""Exile in the Forest"", and ""The War."" c1989. 328 min. ; ; also on vhs  [Note:  is 13 minutes longer than  and includes a ""making of"" documentary]","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8478"">DVD 8478Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1697"">DVD 1697Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2194"">Video/C 2194Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8478"">DVD 8478Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1697"">DVD 1697Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Mahabharata Katha. 1, Draupadi Svayamvara.","A film presentation of the story of the Hindu religious text the Mahabharata. In Hindi. 1994. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4552"">Video/C 4552Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Maharajah Burger","The film takes a wry look at the cultural confrontation of East and West, as reflected in attitudes towards the cow. In India, where the cow is revered, when MacDonalds opened up in New Delhi featuring the Maharajah Burger, there was outrage at this affront. To many Indians it is a symbol of Western cultural imperialism--Western greed undermining traditional values in India. Director: Thomas Balmes. 1997. 50 min. 

â€¢149;Ѭ href=""http://anth.alexanderstreet.com/View/1689350/"">View online (Part I) (UCB users only)Ж
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6530"">Video/C 6530Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149;Ѭ href=""http://filmakers.com/indivs/MaharajahBurger.htm"">Description from Filmakers Library catalogЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Mahatma Gandhi: The Great Soul Lives","Traces the footsteps of Mahatma Gandhi from London, where he first studied law; to South Africa, where he established his first ashram; to India, where he worked tirelessly for independence. More than a biography, this documentary seeks to understand the essence of Mahatma Gandhi and his philosophy, which guided India in its struggle for independence and continues to inspire others in their efforts to achieve freedom. Dist: Ѭ href=""http://www.films.com"">Films Media Group.Ж 2000. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7034"">Video/C 7034Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Mahatma Gandhi, Soul Force.","Examines Mahatma Ghandi's philosophy of nonviolence and his quest for Indian self-respect and independence from British rule. Includes archival footage. 1978. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+833"">Video/C 833Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Male Degula: Temple on the Hill","A documentary film on the life of Kannada poet Pu. Ti. Narasimhachar, born 1905. PAL format. [2000.] 35 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7927"">Video/C 7927Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Manifestations of Shiva.","Shows the worship of the Hindu god Shiva on a personal level, through dance, art, music and ritual. Without narration, it aims to convey a feeling for the events represented, through observation of those experiencing the events, rather than through didactic explanation. Presented by the Philadelphia Museum of Art to compliment the exhibition Manifestations of Shiva. 1985. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4541"">Video/C 4541Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"ManipurЖ, Nowhere to Hide","tells the inside story of the Northeast Indian state, Manipur, and its fragmention by insurgency. (On same tape with Ѭ href=""#landtilled"">A Land Tilled with BloodЖ) 1996. 41 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5121"">Video/C 5121Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Mardon Wali Baat.","In Hindi. Historical film based on the activities of Thugs in pre-independence India. 1987. 172 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3901"">Video/C 3901Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Marriages in Heaven","Arranged marriages have been an important aspect of traditional Indian culture since ancient times, and they are still common today. This illuminating documentary explores the ways in which globalization and modernization are affecting young people and changing the traditions of marriage among Indians living both in India and in America. This documentary was produced in the Community Documentary Workshop of the Broadcast & Electronic Communication Arts Department of San Francisco State University. 2000. 27 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6441"">DVD 6441Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Megacities","A film in twelve chapters which tells the tales of people from Bombay, Mexico City, Moscow and New York, who are all struggling for daily survival, with ingenuity, intelligence and dignity. Focuses on the lives of Shankar, the Bioscope Man; Modesto, the chicken feet vendor; Baba Khan, the paint recycler; Nestor, the trash scavenger; street kids Oleg, Borya, Kolya and Misha; Cassandra, the performer; Larissa, the crane driver and Toni, the hustler. 1998. 90 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8920"">Video/C 8920Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Memories of Milk City.","Ahmedabad, in the Gujarat regionof India, is a troubled city. Once home to the ideas of Rajiv Gandhi, it has more recently suffered appaling communal violence. This film is a powerful but elegant lament to the city that once was. 1991. 10 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3055"">Video/C 3055Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/South.html#Memories%20of%20Milk%20City"">Description from Icarus Films catalogЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Meeras","A documentary on the history of Muslim rule in South Asia, 712-1857, and the Pakistan movement through 1947. In Urdu. PAL format. 1988. 150 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3909"">Video/C 3909Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"A Migrant's Heart. (Human Geography; 8)","An English actor whose parents came from India and then migrated to East Africa and finally England returns to visit New Delhi, India, to seek his roots, and to work through ethnic identity problems which can result when one is caught between two worlds. 1996. 27 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4248"">Video/C 4248Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Minorities in Pakistan","Documentary on freedom of religious activities and rights of minorities in Pakistan. 19 min. 1999? PAL format. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9504"">Video/C 9504Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Mirat ul Uroos.","In Urdu. Television play. Performer: Arifa Siddiqui, Irsa Ghazal, Pervaiz Raza, Anjum Ayaz, Attiya Sharaf, Tamana Begum Tani Begum. 1980. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3913"">Video/C 3913Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Mithila Painters: Five Village Artists from Madhubani, India.","Interviews with five Indian painters who live in Mithila and practice the ancient folk painting unique to the North Indian region of Madhubani. They display their works and explain their painting techniques and the folklore and stories which inspire their art. In Tamil with English voiceover.1994. 40 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3381"">Video/C 3381Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Modern Brides: Arranged Marriage in South India.","Describes two middle-class brahman marriages in Mysore, South India in 1983. Through interviews with the brides, the grooms, and other members of their families, the film represents varying views on marriage, family loyalty, and family status. 1985. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3378"">Video/C 3378Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Monuments of Mahabalipuram: World Cultural Heritage Site","The Pallava kingdom was an ancient South Indian Tamil kingdom with their capital at Kanchipuram and the sea-port at Mahabalipuram. The story of south Indian stone architecture begins at Mahabalipuram whose style is the earliest and the simplest found in the rock-cut temples. In the cave temples of Narsimhavarman or the Mammalla style, the pillars are slender, ornamented and are supported by squatting lions. Each of the caves at Mahabalipuram is unique. The sculptural reliefs, the panch Pandava Ratgas, the Shore temple are the important landmarks of artistic achievements of the Pallavan rules. 2002. 23 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X924"">DVD X924Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Muft Bazar.","Report on a unique free bazar, organized and arranged for the benefit of the needy by the Muhajir Qaum Movement (MQM), an organization striving for the sociopolitical rights of the immigrants from India who opted for Pakistan in 1947 and settled mostly in the urban areas of Sind, Pakistand; includes glimpses of the organization's other social activities. 1989. 160 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3911"">Video/C 3911Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Mulk Raj Anand: A Writer and His Times","Documentary on the life and work of the indic author, Mulk Raj Anand. Also includes the author reading from his works and an interview. PAL format. 2001. 22 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9414"">Video/C 9414Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Mumbai Massacre","For many, what began as a typical day in a bustling cosmopolitan city turned into a nightmarish 60 hours of orchestrated terrorism broadcast live to the world via cell phones, Internet, text, and Twitter. The same social media tools used in consumer technology to relate vital real-time news of the escalating atrocities and information about victims' situation were also used by terrorists to coordinate and plan their attacks. Looks at how social media became a silent witness and simultaneously transformed news as it happened. Producer/director, Victoria Potts. Originally broadcast as an episode of the television series Secrets of the dead on November 3, 2009. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5415"">DVD X5415Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Munni","Looks at the life of a young girl in the Indian village of Mithila. Tells how changes in roles and attitudes have come to women there through ancient traditions of painting, but Munni learns the old ways from her grandmother and the new from her aunt. Her daily life exhibits the values of family and cultural continuity that are her legacy. 1990. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4264"">Video/C 4264Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Mutthi Bhar Chawal.","In Urdu. A Social drama set in Pakistan. Performer: Nadeem, Sangeeta, Ghulam Mohi-ud-din, Shela Gul, Sari, Najma Begum, Romana, Kamal Irani. 1980. 140 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3914"">Video/C 3914Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"A Musical Tradition in Banaras.","Centered around the activities and approach to music of Panchu Maharaj, a classical drummer and musical instructor at Banaras Hindu University. Viewer is invited into the home of Prof. Maharaj, to view private aspects of Indian family life including their religious customs. Includes practice sessions in the home where Indian music is played in the casual atmosphere in which it is most frequently heard. In Tamil with English voiceovers. 1990. 40 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3778"">Video/C 3778Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"My Daughter the Terrorist","A rare, inside look at an organization that most of the world has blacklisted as a terrorist group. Made by the first foreign film crew to be given access to the Tamil Tigers (LTTE) of Sri Lanka. Dharsika and Puhalchudar have been living and fighting side-by-side for seven years as part of LTTE's elite force, the Black Tigers. Their story is told through cinema verite footage, newsreel footage, and interviews with the women and Dharsika's mother. The women describe heartbreaking traumas they both experienced at the hands of the Sri Lankan army, which led them to join the guerrilla forces. This documentary sheds light on the reasons that the Tamil Tigers continue their bloody struggle for independence while questioning their tactics. 2007. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9941"">DVD 9941Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149; Ѭ href=""http://www.wmm.com/filmCatalog/page.shtml"">Women Make Movies catalog descriptionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc714"">s/c714Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"My Journey, My Islam","Through interviews with Muslim women in Australia, India, Pakistan and Britain this film documents how they reconcile and interpret the requirements of their faith and the obligations of Western culture. Although the film focuses on the Hijab (veil) and the Burhka, it raises larger issues and questions surrounding identity, women's rights and their place in Muslim society. Includes an interview with former Pakitani premier, Benazir Bhutto who speaks of her experiences as a Muslim woman and how her beliefs in Islam were by no means a hindrance to her career. c1999. 56 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8133"">Video/C 8133Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"My Mother India","Portrait of the filmmaker's family, her Sikh father and Australian mother, and her upbringing in New Delhi. ""What begins as a gently humorous portrait unfolds into a complex commentary on the social, political, and religious events of the anti-Sikh riots in 1984 which tore this family apart. This is a powerful story of love and hate, exile and belonging, loss of identity and return to faith."" Written and directed by Safina Uberoi; produced by Penelope McDonald. 2001. 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9783"">Video/C 9783Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149; Ѭ href=""http://www.filmakers.com/indivs/MyMotherIndia.htm"">Description from Filmakers Library catalogЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Naata: The Bond","Friends and activists, Bhau Korde and Waqar Khan, work with neighborhood peace committees in Dharavi, Mumbai to promote conflict resolution through the collective production and use of visual media. Korde and Khan are both long-time residents of Dharavi, Asia's largest slum, and both first-generation migrants to the city. When the deadly riots of 1992-93 tore the city apart, Korde and Khan were moved to act, working to change both the negative perception of Dharavi and erase religious and ethnic divisions. 2003. 45 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8944"">DVD 8944Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Nadera Nimai (Nimai of Nadia)","Film portrayal of the Indian religious reformer, Lord Chaitanya Mahaprabhu, from his birth to his taking of sannyasa (the renounced order) at the age of twenty-four. Originally produced as motion picture in Bengal, India, 1959. Inserted at the end of film: 4 minute documentary titled ""The voice of the second generation,"" which documents the 1993 International Gurukula Reunion, held in Atlanta, New Vrindaban (W. Va.), and Los Angeles. 70 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6948"">Video/C 6948Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Nalini by Day, Nancy by NightЖ","A documentary about the outsourcing of American jobs to India. From the perspective of an Indian immigrant living in the United States, using humor and satire to capture the lives of Indian telemarketers who undergo voice and accent training to speak to U.S. customers with an American accent. A complex look at life as per Eastern Standard Time in India. A film by Sonali Gulati. 2005. 27 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5383"">DVD 5383Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149; Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Women Make Movies catalog descriptionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc682"">s/c682Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"â€¢149;Ѭ href=""#kingcalls"">King of CallsЖ ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1299"">DVD X1299Ж","â€¢149;Ѭ href=""#calcutta"">Calcutta CallingЖ ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8682"">DVD 8682Ж","â€¢149;Ѭ href=""#800"">1-800-INDIAЖ ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6570"">DVD 6570Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Reviews and articles:","â€¢149;Hudson, Dale. ""Undesirable Bodies and Desirable Labor: Documenting the Globalization and Digitization of Transnational American Dreams in Indian Call Centers."" Cinema Journal; Fall2009, Vol. 49 Issue 1, p82-102, 21p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=47852159&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"A Narmada Diary.","Documents five years of activities by the Narmada Bachao Andolan (the Save Narmada Movement) which has spearheaded the agitation against the construction of the Sardar Sarover Dam in India. The people of the Narmada Valley, with their insistence on non-violence and their determination to drown rather than be shifted off their land, have become a symbol of global struggle against unjust and unsustainable development. Directed by Anand Patwardhan and Simantini Dhuru.1995. 60 min. ; 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3432"">DVD X3432Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7894"">Video/C 7894Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149; Ѭ href=""http://www.icarusfilms.com/cat97/k-o/a_narmad.html"">Description from Icarus Films catalogЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Never Again?: Genocide Since the Holocaust","After the atrocities of World War II, the cry of conscience was ""never again!"" As this program demonstrates, that bitterly learned injunction went unheeded throughout much of the world. The chronicle of genocide continues with a look at Mao's purges in China, Cambodia under Pol Pot's Khmer Rouge, the Arab/Israeli conflict, border wars in Pakistan and Bangladesh, and killing in Central America. 2002. 57 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8744"">Video/C 8744Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"New View New Eyes","An East Indian Canadian travels to India to meet her father's family. She finds that India is in no simple way her ""home"", yet she also can't hide behind the tourist's camera. Western representations of India are challenged as we see India through a weave of location imagery, music, poetry, conversation and journal entries. 1993. 49 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4254"">Video/C 4254Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Newstrack","Videotaped from the news program, India Today. Monthly subsciption from October 1990 through December 1995. :1. [All shelved at NRLF: 1990:10 1990-1995:12]
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1820"">Video/C 1820Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Nilachale Mahaprabhu.","Film portrayal of Lord Chaitanya's pastimes as he revolutionized and respiritualized the Indian society. Depicts his life in Nilachal, Jagannath Puri from 1510 to 1534 during the reign of Gajapati Prataparudra Maharaj, King of Orissa. Originally produced as motion picture in Bengal, India, 1959. 79 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6949"">Video/C 6949Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Odhni: A Collective Exploration of Ourselves, Our Bodies.","A discussion by Indian women of different ages, backgrounds, and life experiences concerning what they have in common and the social and political empowerment of women in India. 1993. 23 min. PAL format ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+465"">Video/C 465Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
