"Source:","http://www.lib.berkeley.edu/MRC/UShistory.html"
"
U.S. History

"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/the20thcentury.html"">20th Century OverviewsЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SixtiesVid.html"">1960's videographyЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/50svid.html"">1950's videographyЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/2030svid.html"">1920's/30's videographyЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/USPolitics.html"">US Politics & GovernmentЖ (includes videos about the US Presidency)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/propaganda.html"">PropagandaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AfricanAmVid.html"">African AmericansЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AsianAmvid.html"">Asian AmericansЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/LatinoVid.html"">Chicanos/LatinosЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/IndigenousVid.html"">Indigenous Peoples of North AmericaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/JewishVid.html"">Jewish StudiesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/LaborVid.html"">Labor and Labor HistoryЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PACSVid.html"">Peace and Conflict StudiesЖ (for World Wars and other US military involvements)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/terrorism.html"">International TerrorismЖ (for works dealing with 9.11)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PopcultureVid.html"">Popular CultureЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/WomenVid.html"">Women's StudiesЖ","U.S. History"
"March of Time: Postwar Problems & Solutions","Compiled from segments of The march of time newsreel series originally produced by Time Magazine between 1941-1948.
","â€¢149;March of Time: Postwar Problems & Solutions. America's Postwar Problems, Part I","Documents the concerns of U.S. citizens after World War II with unemployment, housing, productivity on farms, the social and economic adjustment of veterans, alcoholism and other issues. Contents: Post-war jobs -- Post-war farms -- The returning veteran -- Wanted: more homes -- Problem drinkers -- Is everybody happy? -- The American cop. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4790"">Video/C 4790Ж","â€¢149;March of Time: Postwar Problems & Solutions. America's Postwar Problems, Part II","Documents the concerns of U.S. citizens after World War II with education, medicine, traffic, mental health, the renovation of America's trains and other issues. Contents: The teacher's crisis -- Your doctors -- New trains for old -- T-Men in action -- The presidential year -- Stop-heavy traffic -- The nation's mental health. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4791"">Video/C 4791Ж","â€¢149;March of Time: Postwar Problems & Solutions. America's Postwar Problems Beyond, Part I.","Documents the concerns of U.S. citizens after World War II with world food scarcity, the political situations in Czechoslovakia, Germany, Britain, Turkey, Indonesia and other issues. Contents: World food problem -- The Soviet's neighbor, Czechoslovakia -- Germany-Handle with care! -- Storm over Britain ; XIII/13 -- Turkey's 100 million -- End of an empire? (Indonesia) -- Policeman's holiday (Scotland Yard). ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4792"">Video/C 4792Ж","â€¢149;March of Time: Postwar Problems & Solutions. America's Post-war Problems Beyond, Part 2.","Documents the concerns of U.S. citizens after World War II with the economic and political situations in Guam, Asia, Palestine, the Philippines, Germany, Greece and France. Contents: The new U.S. frontier (Guam and Asia) -- Palestine problem -- 18 million orphans (Philippines) -- Justice comes to Germany -- Report on Greece -- The new France. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4793"">Video/C 4793Ж","â€¢149;March of Time: Postwar Problems & Solutions. Postwar Problems and Solutions: Modern Main Street, U.S.A.","Documents the concerns of U.S. citizens after World War II with what the future holds, quality medical care, working women, mail fraud, the future of farming, firefighting and other issues. Contents: Public relations...This means you -- The case of Mrs. Conrad (Medicine) -- White collar girls -- Watchdogs of the mail (Mail fraud) -- Farming pays off -- Mid-century: half way to where? -- Where's the fire? 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4794"">Video/C 4794Ж","U.S. History"
"March of Time: The Cold War
","â€¢149;March of Time: Cold War, 1946-1951: Changing Attitudes 1946-1948.","Stories document the concerns of U.S. citizens after World War II. Includes films on the political situations in Russia, France, Italy and Greece and a documentary on the development of the atomic bomb. Contents: Atomic power -- The Russia nobody knows -- The Cold War, Act I: France -- The Cold War, Act II: Crisis in Italy -- Cold War, Act III: Battle for Greece. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4795"">Video/C 4795Ж","â€¢149;March of Time: Cold War, 1946-1951: Hostility Grows 1948-1949","Stories document the concerns of U.S. citizens after World War II. Includes films on the political situations in Germany, France and India with documentaries on the development of jet airplanes and the uses of nuclear energy. Contents: Battle for Germany -- America's new air power -- Answer to Stalin (France and Germany) -- Asia's new voice (India) -- Report on the atom. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4796"">Video/C 4796Ж","â€¢149;March of Time: Cold War, 1946-1951: Peace or War? 1949-1950","Stories document the concerns of U.S. citizens after World War II. Includes films on the political and social situations in Russia, Sweden, Japan, and Italy. Includes a documentary on American fears of a ""communist attack"". Contents: Sweden looks ahead -- MacArthur's Japan -- A chance to live (Italian war orphans) -- As Russia sees it (Instigation of Korean War)-- The gathering storm (U.S.). ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4797"">Video/C 4797Ж","â€¢149;March of Time: Cold War, 1946-1951: Time Marches On 1950-1951","Stories document the concerns of U.S. citizens after World War II. Includes films on the political and social situations in Yugoslavia, Morocco, Iran and Formosa. Includes documentaries on the Mutual Defense Assistance Program and The U.S. Airforce Strategic Air command. Contents: Tito: new ally (Yugoslavia) -- Strategy for victory (Mutual Defense Assistance Program) -- Flight plan for freedom (Strategic Air Command) -- Moroccan outpost -- Crisis in Iran -- Formosa: island of promise. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4798"">Video/C 4798Ж","U.S. History"
"Mary Silliman's War","Based on the memoir and letters of Mary Silliman, this film depicts the struggle during the American Revolutionary War, of Fairfield, Conn., a town deeply and bitterly divided over independence. After the kidnapping and imprisonment of her husband by the British, Mary Silliman managed to secure her husband's freedom while still handling domestic affairs and coping with the war. Based on The way of duty by Joy Day Buel and Richard Buel, Jr. (Main Stack CT275.F5586.B83 1984; Moffitt CT275.F5586.B83 1984) 1993. 94 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM117"">Video/C MM117Ж","U.S. History"
"McCarthy: Death of a Witch HunterЖ","A film by Emile de Antonio. Examines the man whose name has become synonymous with the blacklisting fervor of The Cold War through an overview of the 1954 Army-McCarthy hearings. Includes excerpts from the television footage shot during the six weeks of hearings and an introduction by Paul Newman, who places the excerpts in historical perspective. 1964. 45 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6579"">Video/C 6579Ж","(See also longer version of this film, released under the title: Ѭ href=""#order"">Point of OrderЖ )","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1918"">Video/C 1918Ж","U.S. History"
"The McCarthy Years.","Broadcasts by newscaster, Edward R. Murrow, reveal the abuses of power by Joseph McCarthy and signal the emergence of television news as an influential force in American life. 120 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3167"">Video/C 3167Ж","U.S. History"
"McCarthyism.","Recorded form a broadcast of the television program ""Firing Line."" William F. Buckley, Roy Cohn and others discuss the McCarthy army hearings, and McCarthyism and communisms in general. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eSound%2FC+431"">Sound/C 431Ж","U.S. History"
"A Midwife's Tale.","Set during the turbulent decades following the American Revolution follows the life of Martha Ballard, a frontier midwife in Hallowell, Maine, as reconstructed from her diary by historian Laurel Ulrich. Originally broadcast in 1997 as a segment of the television series: The American experience. Based on the book by Laurel Thatcher Ulrich. 88 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM461"">Video/C MM461Ж","U.S. History"
"Nation Within: The Story of America's Annexation of the Nation of Hawaii","This documentary tells the story of the annexation of Hawaii by the United States and the overthrow of the Hawaiian monarchy. What was life in Hawaii like during those seemingly lost years between the overthrow and annexation? Why was Theodore Roosevelt so intent on acquiring Hawaii and how far would he and his associates go to get it? 1999. 56 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM402"">Video/C MM402Ж","U.S. History"
"Native Land.","Several years in the making and defiantly outspoken, this film stands as one of the most influential accomplishments of the collective of left-wing artist known as Frontier Films. Combining documentary form with staged reenactments, they created a treatise on the struggle for human rights in the 1930s couched in the doctrines of the political left. The film presents an emotional tour of the U.S. and its freedom-based ideologies, as well as an unflinching look at the forces threatening to undermine its strengths from within: Greedy capitalists, professional strikebreakers, and the Ku Klux Klan. Originally produced in 1942. 88 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7026"">Video/C 7026Ж","U.S. History"
"New York, A Documentary Film.","Directed by Ric Burns. 1999. 120 min. each installment.
","U.S. History"
"See also:","â€¢149; Burns, Ric. New York : an illustrated history. New York: Alfred A. Knopf, c2003. (ENVI: F128.3 .N585 2003)","U.S. History"
"â€¢149; Episode One, The Country and the City. Covers the rise of New York from its discovery in 1609 through the explosion of commercial growth sparked by the completion of the Erie Canal in 1825. The film examines the defining role the Dutch played in the development of the city's character, the impact of the British empire and the horrors of slavery, the establishment of the Stock Exchange, New York's fateful role in the American revolution and its brief tenure as the nation's capital.   ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3764"">DVD 3764Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6650"">Video/C 6650Ж","â€¢149; Episode Two, Order and Disorder. Chronicles the rise of New York commencing in 1825 from a merchant city to an industrial one. With the explosion of the immigrant population came social problems of every kind. By 1860, every tension in America could be felt on the streets of New York, now the most powerful and divided--city in the nation. Then the Civil War brought on civil disturbance in the form of the Draft Riots of 1863.   ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3765"">DVD 3765Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6651"">Video/C 6651Ж","â€¢149; Episode Three, Sunshine and Shadow. Covers New York City during the period after the Civil War-- ""the Gilded Age."" From 1865 through 1898, the city grows at a staggering rate--demographically, geographically and financially--and takes on enormous challenges such as the building of the Brooklyn Bridge, and sees the rise of Tammany Hall and Boss Tweed. By the end of the decade, New York has become home to the world's greatest concentration of wealth, and of poverty.   ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3766"">DVD 3766Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6652"">Video/C 6652Ж","â€¢149; Episode Four, The Power and the People. Covers the years from 1898 through 1918 showing how New York's industry drew in people from all over the world, and how these immigrants transformed the city physically, culturally and finally politically. Looks also at the construction of the subway system, Penn Station, Grand Central Terminal and the skyscrapers on Wall Street. The episode ends with the tragedy of the Triangle Shirtwaist Factory Fire and the reform legislation passed in its aftermath.   ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3767"">DVD 3767Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6653"">Video/C 6653Ж","â€¢149; Episode Five, Cosmopolis. Examines the roaring twenties in New York City as it becomes the cultural capital of the world with its hybrid cultural style that mixes high culture and low, black culture and white. This episode concludes with the skyscraper war, the rise & crash of the stock market and the construction of the Empire State Building.   ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3768"">DVD 3768Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6654"">Video/C 6654Ж","â€¢149; Episode Six, City of Tomorrow. Examines the dramatic and increasingly fateful events following the crash of 1929--as the greatest depression in American history plunged the city and nation into economic gloom. Two men came to the fore -- Fiorello La Guardia and Robert Moses, who attempted to create a bold new city of the future. Charting the demise of Mayor Jimmy Walker and the ascendancy of Franklin Delano Roosevelt's New Deal, this pivotal episode traces the fate of Harlem and the immense public works projects such as the Triborough Bridge and La Guardia Airport. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3769"">DVD 3769Ж","â€¢149; Episode Seven, The City and the World. Examines the history of New York from the end of World War II to the present. Explores the complexities of the city and the physical, social and cultural change in the years following the war. The episode treats the great African American and Puerto Rican in-migrations; the beginnings of white flight and suburbanization and the massive physical changes wrought by highways and urban renewal. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3770"">DVD 3770Ж","â€¢149; Episode Seven, The Center of the World. Looks at the rise and fall of the World Trade Center, whose epic fifty-year history sheds new light on every theme and issue in the city's long march to the center of the world. The episode comes to a climax with the harrowing events of September 11, 2001 and the extraordinary response of the city's people to the worst crisis in their history. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3771"">DVD 3771Ж","U.S. History"
"[North, Oliver] Oliver North [videorecording]: Friday, July 10, 1987 / ABC News.","Excerpts from the public testimony of Lt. Colonel Oliver North during hearings held July 7-14, 1987 before the two Congressional committees investigating the Iran-Contra Affair. After four days on national TV, explaining his part in the Iran-Contra affair, Colonel Oliver North has become a media hero to much of the country. Includes commentary by politicians and journalists. 23 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5765"">Video/C 5765Ж","U.S. History"
"The Orphan Trains","Between 1854 and 1929 the Children's Aid Society in New York and other East Coast charities organized an ambitious rescue effort to send hundreds of thousands of homeless children to foster homes in farming communities. The video explores the successes and failures of this resettlement movement. Interviews with elderly survivors and century-old letters from children are included. Originally produced as an episode on the PBS television series The American Experience. 1995. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6009"">Video/C 6009Ж","U.S. History"
"Our Daily Bread and other Films of the Great Depression","Contents: Prologue to Our daily bread / King Vidor (1983) -- Our daily bread / director, King Vidor (1934) -- California election news #1 and #2 (New Deal documentaries) / produced by MGM -- The plow that broke the plains / U. S. Resettlement Administration ; writer/director, Pare Lorentz (1936) -- The river / U.S. Farm Security Administration ; writer/director, Pare Lorentz (1937) -- Power and the land / director, pioneering film. California Election News #1 and #2: Fake newsreels secretly produced by MGM as ""dirty tricks"" in the film industry's political war against Upton Sinclair. The river: A documentary of the Mississippi River tracing the history of the river while emphasizing the need for conservation and reclamation. Plow that broke the Plains: Details the ravages of drought and dust storms in the Great Plains which precipitated the migration of farmers to the Pacific Coast. Power and the land: Observes the daily activities of a dairy farming family in Ohio before and after electrification of their farm. The New frontier: Offers a glimpse into an experimental ""rural community"" sponsored by the Federal Emergency Relief 194 min. Video/C ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+691"">DVD 691Ж","U.S. History"
"The Panic is On: The Great American Depression as Seen by the Common man.","This multifaceted set communicates both the painful hard times of the Great Depression and the grace and strong will of the common man in confronting it. Period newsreel and documentary film footage convey the feel of the times. Classic musical recordings reflect the popular mood of the day. The booklet includes photographs, letters, and first hand recollections. Contents: DVD: Give a man a job (with Jimmy Durante) -- Life in the thirties -- Mr. Zero gives to the needy -- The Boswell Sisters perform for legislators -- The unemployed march for relief -- A Zuni Indian offers perspective on the Depression -- Millions of us -- Dance marathons -- The Jazz Age -- A debutante sells her chinchilla coat -- Knitting sweaters for the unemployed with Fanny Brice -- Union textile workers strike -- The plow that broke the plains -- The river -- Mr. Zero evicted -- Work pays America -- We work again -- Our daily bread -- The power and the land. CD: (Everything's gonna be) O.K. America / Art Kassel and his Kassels in the Air -- The panic is on / Hezekiah Jenkins -- If I ever get a job again / Dick Robertson and his Orchestra -- NRA blues / Bill Cox -- The clouds will soon roll by / Eddy Duchin and his Orchestra -- Nobody knows you (When you're down and out) / Bessie Smith -- We're in the money (The gold digger's song) / Charlie Palloy -- The great dust storm / Woody Guthrie -- Headin' for better times / Ted Lewis and his Band -- Bad times blues / Barbecue Bob -- Brother can you spare a dime? / Charlie Palloy and his Orchestra -- Bread line blues / ""Slim"" Smith -- Welfare store blues / Sonny Boy Williamson -- Franklin Roosevelt's back again / Bill Cox -- I can't go to the poor house / Dick Robertson -- Old age pension check / Roy Acuff and his Crazy Tennesseans -- When my stocks come tumbling down / Fields and Hall -- Down on Penny's farm / The Bentley boys -- A tale of the ticker / Frank Crumit -- In the fall of '29 / W. Lee O'Daniel and his Light Crust Doughboys -- Starvation blues / Charlie Jordan -- Cheer up! Smile! Nertz! / Eddie Cantor -- Good old times (Are coming back again) / Dick Robertson. 120 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1770"">DVD X1770Ж","U.S. History"
"The People SpeakЖ","A look at social change throughout history, as seen through the music, poetry, speeches, and manifestos of rebels, dissenters, and visionaries from our past - and present - including Frederick Douglass, Susan B. Anthony, Bob Dylan, Langston Hughes, Chief Joseph, Muhammad Ali, along with unknown veterans, union workers, abolitionists, and many others. Celebrates the extraordinary possibilities for creating social change that ordinary people have realized throughout the course of our nation's rich but often ignored history of dissent and protest. Dramatic and musical performers: Allison Moorer, Benjamin Bratt, Bob Dylan, Bruce Springsteen, Chris Robinson, Christina Kirk, Danny Glover, Darryl ""DMC"" McDaniels, David Strathairn, Don Cheadle, Eddie Vedder, Harris Yulin, Jasmine Guy, John Legend, Josh Brolin, Kathleen Chalfant, Kerry Washington, Lupe Fiasco, Marisa Tomei, Martín Espada, Matt Damon, Michael Ealy, Mike O'Malley, Morgan Freeman, P!nk, Q'orianka Kilcher, Reg E. Cathey, Rich Robinson, Rosario Dawson, Ry Cooder, Sandra Oh, Sean Pen, Staceyann Chin, Van Dyke Parks, Viggo Mortensen. Inspired by the book ""A people's history of the United States"" by Howard Zinn (Main and Ethnic Studies E169.1 .Z53 1980) and ""Voices of a people's history of the United States"" edited with Anthony Arnove (Main (Gardner) Stacks; Moffitt E173 .Z564 2004). Directed by Chris Moore, Anthony Arnove, and Howard Zinn. Originally broadcast on television in 2009 on the History Channel. 113 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3011"">DVD X3011Ж","U.S. History"
"Reviews and articles:","â€¢149;Ѭ href=""#voices"">Readings from Voices of a People's History of the United StatesЖ","U.S. History"
"People's Century. 1997. 56 min. each installment. For other installments of this series see MRC's Ѭ href=""http://www.lib.berkeley.edu/MRC/EuroVid.html"">Europe videographyЖ","â€¢149; Age of Hope, 1900. The dawn of the twentieth century was forged in hope and optimism. Here interviewees from Europe, Asia and the United States (boasting an average age of 102), recount the part they played in the century's early history. Whether fighting on the barricades of the failed Russian Revolution of 1905 or campaigning for votes for women; recalling the Paris Exposition of 1900, or President McKinley's assassination or witnessing the sinking of the Titanic, all remember the changes they lived through and the clash of forces and ideas before World War I. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5555"">Video/C 5555Ж","â€¢149; Breadline, 1929. The 1920s found Americans enjoying the fruits of a new prosperity in a post-war boom. Then, in 1929, the New York Stock Exchange crashed; banks failed and industry withered. From Europe and the United States to Latin America and Asia, the Great Depression shattered economies and communities worldwide. In this film the people who were there remember the blow as workers from the United States, Chile, Britain, Belgium and Scandinavia recall the hungry 1930s. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5550"">Video/C 5550Ж","â€¢149;Great Escape, 1927. By the mid-1920s, millions worldwide were already confirmed ""moviegoers"". Movies reflected and affected the way people dressed, thought and spoke, teaching the inexperienced about love and courage, while the governments around the globe were quick to realize the power of film: this new mass entertainment would also prove an unrivaled tool of mass persuasion. Here moviegoers reminisce, revealing how the new medium persuaded, influenced and entralled them, as it offered a welcome refuge from the century's pressures. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5549"">Video/C 5549Ж","â€¢149;Killing Fields, 1914. In August 1914, the people of Europe were swept into the first of the wars that would make this century the bloodiest ever. Seventy million soldiers from more than twenty countries marched off to do their duty. In this film soldiers from all sides give a personal account of the trenches and the tactics--and the terrible nature and scale of the slaughter that shattered the old world order. In the end, four empires collapsed and nine million gave their lives. Some became pacificts while others sought retribution and many found themselves fighting another war only two decades later. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5543"">Video/C 5543Ж","â€¢149; Lost Peace, 1919 After the First World War a whole generation was traumatized by the horror of war and vowed that war would be a thing of the past. This film revists the popular hopes and experiences in the years following World War I--and the looming threat of a new nationalism. Despite Woodrow Wilson's promise of a ""people's peace"", defeated nations were resentful and unreconciled. As fascism and militarism spread, worldwide pacifist movements fought an increasingly unsuccessful rearguard action to preserve the dream of peace. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5547"">Video/C 5547Ж","â€¢149; On the Line, 1924. When Henry Ford's Model T rolled onto the scene in 1908, it was inconceivable that it would ever be anything more than a plaything for the wealthy. But mass production and later, Ford's moving assembly line, allowed manufacturers to produce goods at affordable prices that made them accessible to a new mass market. This film follows the acceleration of mass production, from the days of master craftsmen to the pressures and benefits of assembly-line work to the growing strength of ""people power"" as labor and management struggled to divide the fruits of increased productivity. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5546"">Video/C 5546Ж","â€¢149; Sporting Fever, 1930. In the early 1900's, competitive sports were still not far removed from recreation--more for the player than the spectator. This film follows boxing, baseball, soccer, and more, as sports transition from a modest pastime to a fiercely competitive--and commercial-- business to a potent expression of national pride and politics. Throughout, sports fans the world over remember the drama, the thrill, the exhilaration--and the patriotism--their favorite athletes and sports teams aroused. Includes a look at the role of American sportswriters, and live radio and television broadcasting of sporting events. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5545"">Video/C 5545Ж","â€¢149;Total War, 1939. The Second World War was the first modern conflict in which millions more civilians died than soldiers. In this film, eyewitnesses from Britain, Germany, Russia, Korea, Japan and the United States tell the story of the civilians who suffered and died. Residents of Plymouth, Tokyo, and Hamburg remember the air raids; Russian peasants recall the siege of Leningrad; Japanese soldiers and Korean slave-laborers describe the brutality of war in Asia. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5551"">Video/C 5551Ж","â€¢149;Fallout, 1945. Tells of the impact of nuclear energy upon the world starting with the first use of the atomic bomb at Hiroshima and Nagasaki, and covering nuclear testing, the ""arms race"", protest movements against nuclear armaments and nuclear power and the nuclear power plant accidents at Three Mile Island and Chernobyl. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6432"">Video/C 6432Ж","â€¢149;Boomtime, 1948. After World War II, the USA enjoyed unparalleled prosperity while Europe and much of the rest of the world suffered from devastation, lack of food and other necessities, and unemployment. The American Marshall Plan assisted Europe greatly in its recovery from the war and helped Europeans learn the 'American way' of doing things. Europeans began changing their economy by themselves and became consumers as well as producers. This prosperity lasted until 1973, when the certainty of cheap oil and a world dominated by the West was over. It was the beginning of the end of the greatest boom of the century. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6444"">Video/C 6444Ж","â€¢149;Asia Rising, 1951. Japan began the slow painful process of reconstruction after World War II, while Korea, after the Korean War, was one of the poorest countries in the world. This program documents how Japan and Korea managed to rise above the strife of war to develop into world economic powers, setting the global pace for competition in the late 20th century. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6433"">Video/C 6433Ж","â€¢149;Living Longer, 1954. With the advent and widespread use of penicillin during the Second World War and a greater understanding of microbiology, astonishing advances in Western medicine and public health followed as age-old diseases were systematically tackled in the United States and around the world. Millions hoped that new medical technologies would offer them better health--and longer lives. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6434"">Video/C 6434Ж","â€¢149;Endangered Planet, 1959. Throughout the 20th century the natural world has been assaulted as never before by advancing technology. This film chronicles the rise of the environmental movement which began in the late 1950's when it was first uncovered that unbridled industrial and economic growth can have a devastating impact on the quality of life on earth. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6435"">Video/C 6435Ж","â€¢149;Skin Deep, 1960. Skin deep examines the fight against legal, institutionalized racism in the United States and South Africa. In 1948, South Africa became unique among nations by writing segregation into the law of the land. The architects of apartheid took comfort in the fact that racial segregation was also found in the world's greatest democracy--the United States. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6436"">Video/C 6436Ж","â€¢149;Picture Power, 1963. This film examines the development of the power of television to sway public opinion and unite the world. Includes televised coverage of the 1939 World's Fair, the coronation of Queen Elizabeth, the Kennedy-Nixon debates, the assassination of John F. Kennedy, man's first steps on the moon, the Munich Olympics, direct satellite broadcasting and the revolution in Eastern Europe in 1989. All became, through television, the shared experiences of humankind thanks to the immediacy of the small screen. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6437"">Video/C 6437Ж","â€¢149;Great Leap, 1965. Profiles the history of China from the revolution in 1949, through the Mao years, to the various reform and protest movements in the 1960's, 1970's and 1980's. Topics covered include Mao's 1949 takeover, the advent of collective farms, the ""Great Leap Forward"", the Red Guards and the Cultural Revolution. With the death of Mao came a re-emergent China's new focus on stability and increasing prosperity. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6438"">Video/C 6438Ж","â€¢149;Young Blood, 1968. By 1960 almost half the U.S. population was under eighteen years of age. By 1968, the conservative '50s had been overtaken by full-blown social and political revolt. In Europe, students rioted and demonstrated for greater intellectual freedom--and against the rigid values of the parents' generation. This film revisits the Civil Rights Movement, the beginnings of Students for a Democratic Society, the experience of the Vietnam War, student protests in 1968 Paris, anti-war movements, the 1968 Democratic Convention in Chicago, the Weather Underground, the advent of rock and roll, hippies, counter-culture, yippies and anti-nuclear campaigns. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6439"">Video/C 6439Ж","â€¢149;Half the People, 1970. Inspired by the successes of the Civil Rights Movement, women began to challenge discrimination on the basis of gender. The National Organization for Women was founded in 1966 to support full equality for women in America. In the boardroom and other bastions of male power, women pressed their demands with growing success. This film examines the history of the women's rights movements in the United States, Iran, Mexico, Denmark, China and Africa. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6440"">Video/C 6440Ж","â€¢149;Guerrilla Wars, 1973. Examines how highly motivated guerrillas have organized revolts that eventually defeated large well-equipped governments. Using interviews and archival footage this film examines the Cuban revolution, America's futile struggle in Vietnam and the Soviet Union's equally unsuccessful attempts to control Afghanistan. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6441"">Video/C 6441Ж","â€¢149;God Fights Back, 1979. By mid-century, modern technology and Western thought had swept religion to the margins of public life. Since then millions have turned back to God--and taken political action based on their religious beliefs. In Iran, a resurgence in Islamic fundamentalism led to a revolt against the Shah and to the return of the long exiled Ayatollah Khomeini. In the U.S., religious fundamentalism was also on the march, the Christian faithful eager to restore a ""nation under God."" ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6442"">Video/C 6442Ж","â€¢149;Fast Forward, 1999. As communication and business cross national boundaries as never before, global politics are increasingly driven by global economics, and the power of free markets and new technologies are transforming people's lives the world over. Who will be the winners in the New World Order? Will the popular advances of this most turbulent century be swept away in the next? Can the world's new democracies and ""people power"" survive? 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6443"">Video/C 6443Ж","U.S. History"
